frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.052012;-0.077747;4.198203;4.172469
2;0.066667;0.196704;-0.237993;47.821840;47.780550
3;0.100000;0.404965;-0.491422;207.346100;207.259600
4;0.133333;0.638444;-0.824483;580.481000;580.295000
5;0.166667;0.861699;-1.219352;1234.504000;1234.146000
6;0.200000;1.054796;-1.655130;2153.789000;2153.189000
7;0.233333;1.220326;-2.110159;3242.322000;3241.432000
8;0.266667;1.382031;-2.563694;4331.834000;4330.653000
9;0.300000;1.576813;-2.997813;5223.673000;5222.252000
10;0.333333;1.837595;-3.399324;5737.682000;5736.121000
11;0.366667;2.181732;-3.760985;5785.902000;5784.323000
12;0.400000;2.601225;-4.081969;5397.589000;5396.108000
13;0.433333;3.067402;-4.367642;4693.728000;4692.427000
14;0.466667;3.541852;-4.628580;3863.051000;3861.964000
15;0.500000;3.990078;-4.878917;3095.704000;3094.815000
16;0.533333;4.393211;-5.134336;2524.861000;2524.119000
17;0.566667;4.752129;-5.410158;2213.210000;2212.552000
18;0.600000;5.088938;-5.719555;2133.512000;2132.882000
19;0.633333;5.439937;-6.071974;2166.018000;2165.386000
20;0.666667;5.822613;-6.472263;2230.399000;2229.749000
21;0.700000;6.228621;-6.920245;2348.486000;2347.794000
22;0.733334;6.644370;-7.410471;2563.175000;2562.409000
23;0.766667;7.053284;-7.932370;2899.875000;2898.996000
24;0.800000;7.440159;-8.471757;3358.405000;3357.373000
25;0.833334;7.797040;-9.011792;3924.442000;3923.228000
26;0.866667;8.127243;-9.534576;4539.732000;4538.325000
27;0.900000;8.442130;-10.023210;5110.903000;5109.322000
28;0.933334;8.756847;-10.463690;5554.959000;5553.252000
29;0.966667;9.082400;-10.845990;5783.150000;5781.387000
30;1.000000;9.419060;-11.164960;5757.031000;5755.285000
31;1.033334;9.759620;-11.420890;5477.540000;5475.879000
32;1.066667;10.095230;-11.618970;4972.345000;4970.821000
33;1.100000;10.412690;-11.768370;4332.022000;4330.667000
34;1.133334;10.700130;-11.880450;3652.136000;3650.955000
35;1.166667;10.944680;-11.967700;3014.241000;3013.219000
36;1.200000;11.147880;-12.042860;2487.453000;2486.558000
37;1.233333;11.312040;-12.116670;2111.163000;2110.358000
38;1.266667;11.439970;-12.197130;1899.953000;1899.196000
39;1.300000;11.539040;-12.288960;1857.215000;1856.465000
40;1.333333;11.607780;-12.392560;1982.808000;1982.023000
41;1.366667;11.641240;-12.504640;2268.970000;2268.107000
42;1.400000;11.635460;-12.618780;2718.666000;2717.682000
43;1.433333;11.581320;-12.725000;3321.896000;3320.752000
44;1.466667;11.469280;-12.810570;4033.976000;4032.635000
45;1.500000;11.299180;-12.861690;4828.723000;4827.160000
46;1.533333;11.083990;-12.864570;5596.425000;5594.645000
47;1.566666;10.833710;-12.806660;6261.620000;6259.646000
48;1.600000;10.564120;-12.678420;6724.063000;6721.948000
49;1.633333;10.291550;-12.474160;6954.189000;6952.006000
50;1.666666;10.022850;-12.192810;6864.673000;6862.503000
51;1.700000;9.752997;-11.837790;6506.830000;6504.745000
52;1.733333;9.480209;-11.416890;5906.669000;5904.733000
53;1.766666;9.196078;-10.941240;5110.468000;5108.723000
54;1.800000;8.889405;-10.424670;4228.887000;4227.352000
55;1.833333;8.545959;-9.882608;3396.342000;3395.005000
56;1.866666;8.162464;-9.331191;2688.409000;2687.240000
57;1.899999;7.751032;-8.786010;2143.025000;2141.990000
58;1.933333;7.316383;-8.259771;1741.328000;1740.385000
59;1.966666;6.865380;-7.762066;1515.717000;1514.820000
60;1.999999;6.416191;-7.299515;1432.209000;1431.326000
61;2.033333;5.976048;-6.875466;1466.932000;1466.032000
62;2.066666;5.546372;-6.489031;1609.573000;1608.631000
63;2.099999;5.124579;-6.135042;1847.302000;1846.291000
64;2.133333;4.704994;-5.806009;2183.731000;2182.630000
65;2.166666;4.280747;-5.493444;2608.866000;2607.653000
66;2.199999;3.859837;-5.188167;3041.943000;3040.615000
67;2.233333;3.451601;-4.881506;3404.469000;3403.039000
68;2.266666;3.066289;-4.566683;3668.273000;3666.772000
69;2.299999;2.707359;-4.239502;3797.516000;3795.984000
70;2.333333;2.382735;-3.899503;3717.906000;3716.389000
71;2.366666;2.084936;-3.549814;3511.002000;3509.537000
72;2.399999;1.814735;-3.195910;3161.549000;3160.168000
73;2.433332;1.563366;-2.845710;2746.613000;2745.330000
74;2.466666;1.328126;-2.508785;2328.760000;2327.580000
75;2.499999;1.105843;-2.195268;1948.597000;1947.507000
76;2.533332;0.897216;-1.915069;1640.833000;1639.815000
77;2.566666;0.708181;-1.676672;1423.745000;1422.777000
78;2.599999;0.547380;-1.486043;1278.978000;1278.039000
79;2.633332;0.419007;-1.346721;1203.310000;1202.382000
80;2.666666;0.326848;-1.259928;1190.715000;1189.782000
81;2.699999;0.268812;-1.224316;1246.035000;1245.080000
82;2.733332;0.242572;-1.236507;1367.380000;1366.386000
83;2.766665;0.244755;-1.291531;1540.313000;1539.266000
84;2.799999;0.273625;-1.383203;1749.879000;1748.769000
85;2.833332;0.323202;-1.505144;2006.754000;2005.573000
86;2.866665;0.396813;-1.651004;2266.190000;2264.936000
87;2.899999;0.497449;-1.814880;2492.686000;2491.368000
88;2.933332;0.630933;-1.992051;2645.593000;2644.232000
89;2.966665;0.797266;-2.179629;2719.701000;2718.319000
90;2.999999;0.998328;-2.376837;2704.894000;2703.516000
91;3.033332;1.231728;-2.585075;2595.676000;2594.323000
92;3.066665;1.488373;-2.807641;2450.505000;2449.185000
93;3.099998;1.766484;-3.049029;2293.316000;2292.034000
94;3.133332;2.063941;-3.313994;2153.082000;2151.832000
95;3.166665;2.380301;-3.606717;2048.087000;2046.861000
96;3.199998;2.718721;-3.930401;1980.070000;1978.858000
97;3.233332;3.074565;-4.286961;1973.607000;1972.395000
98;3.266665;3.450451;-4.676541;2021.505000;2020.279000
99;3.299998;3.842730;-5.097183;2122.227000;2120.973000
100;3.333332;4.248417;-5.545282;2271.047000;2269.750000
101;3.366665;4.661098;-6.015953;2477.372000;2476.017000
102;3.399998;5.074982;-6.502807;2739.841000;2738.414000
103;3.433331;5.484530;-6.998210;3040.031000;3038.518000
104;3.466665;5.887696;-7.493975;3368.896000;3367.290000
105;3.499998;6.285691;-7.982000;3688.426000;3686.729000
106;3.533331;6.681063;-8.455015;3968.872000;3967.098000
107;3.566665;7.076570;-8.906891;4167.067000;4165.237000
108;3.599998;7.471793;-9.332691;4268.435000;4266.574000
109;3.633331;7.871094;-9.729457;4243.589000;4241.730000
110;3.666665;8.267969;-10.096440;4111.982000;4110.154000
111;3.699998;8.654757;-10.435210;3905.873000;3904.092000
112;3.733331;9.024018;-10.748710;3675.519000;3673.795000
113;3.766665;9.373779;-11.040390;3422.866000;3421.200000
114;3.799998;9.695759;-11.313590;3212.381000;3210.763000
115;3.833331;9.990205;-11.571310;3048.539000;3046.958000
116;3.866664;10.254100;-11.816040;2952.306000;2950.744000
117;3.899998;10.485750;-12.049370;2937.478000;2935.914000
118;3.933331;10.685520;-12.270910;3006.591000;3005.005000
119;3.966664;10.849760;-12.478190;3157.990000;3156.362000
120;3.999998;10.976280;-12.667310;3389.834000;3388.144000
121;4.033331;11.070270;-12.833780;3657.377000;3655.614000
122;4.066664;11.127990;-12.972360;3962.077000;3960.233000
123;4.099998;11.150650;-13.077450;4275.358000;4273.432000
124;4.133331;11.140080;-13.143500;4570.917000;4568.914000
125;4.166664;11.098530;-13.165680;4814.138000;4812.071000
126;4.199997;11.029420;-13.140630;4983.293000;4981.182000
127;4.233331;10.933910;-13.066690;5064.079000;5061.946000
128;4.266664;10.814450;-12.943900;5045.257000;5043.127000
129;4.299997;10.670040;-12.773840;4942.367000;4940.263000
130;4.333331;10.499320;-12.559800;4766.950000;4764.890000
131;4.366664;10.300740;-12.306440;4540.803000;4538.797000
132;4.399997;10.074510;-12.019430;4285.929000;4283.984000
133;4.433331;9.822007;-11.704390;4010.895000;4009.012000
134;4.466664;9.543427;-11.366920;3752.330000;3750.507000
135;4.499997;9.240342;-11.012310;3528.850000;3527.078000
136;4.533330;8.915594;-10.644880;3335.067000;3333.338000
137;4.566664;8.571491;-10.268050;3170.203000;3168.507000
138;4.599997;8.208761;-9.884488;3049.651000;3047.975000
139;4.633330;7.828847;-9.495893;2980.995000;2979.328000
140;4.666664;7.434032;-9.102901;2950.455000;2948.786000
141;4.699997;7.027279;-8.705679;2944.820000;2943.141000
142;4.733330;6.610551;-8.304051;2964.813000;2963.120000
143;4.766664;6.187679;-7.897503;2996.239000;2994.529000
144;4.799997;5.762656;-7.485715;3007.194000;3005.471000
145;4.833330;5.339159;-7.068917;3000.367000;2998.637000
146;4.866663;4.920654;-6.648026;2962.810000;2961.083000
147;4.899997;4.509419;-6.224479;2891.913000;2890.198000
148;4.933330;4.108352;-5.800565;2790.558000;2788.865000
149;4.966663;3.719522;-5.379199;2663.595000;2661.936000
150;4.999997;3.343509;-4.963900;2504.776000;2503.155000
