frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.050974;-0.123466;0.348524;0.276032
2;0.066667;0.188160;-0.321644;2.770794;2.637310
3;0.100000;0.365326;-0.594219;9.844218;9.615326
4;0.133333;0.507157;-0.909298;23.909900;23.507760
5;0.166667;0.542492;-1.227259;45.778430;45.093660
6;0.200000;0.483172;-1.516337;73.450590;72.417430
7;0.233333;0.469653;-1.781154;104.149900;102.838400
8;0.266667;0.628802;-2.050851;136.545200;135.123200
9;0.300000;1.068795;-2.372893;171.011300;169.707200
10;0.333333;1.699075;-2.771598;208.605200;207.532700
11;0.366667;2.256003;-3.232669;248.388100;247.411400
12;0.400000;2.795721;-3.726650;287.226000;286.295100
13;0.433333;3.138457;-4.217808;322.273400;321.194000
14;0.466667;3.462252;-4.685986;350.029000;348.805200
15;0.500000;3.846090;-5.119311;367.315400;366.042200
16;0.533333;4.097277;-5.515714;373.684900;372.266500
17;0.566667;4.310882;-5.878861;370.757300;369.189300
18;0.600000;4.476063;-6.208374;360.373000;358.640700
19;0.633333;4.759139;-6.509873;343.392900;341.642200
20;0.666667;5.258619;-6.794338;322.377000;320.841300
21;0.700000;5.681251;-7.073147;300.394700;299.002800
22;0.733334;5.907445;-7.344131;279.731400;278.294700
23;0.766667;5.963971;-7.597277;260.160500;258.527200
24;0.800000;5.772637;-7.822790;239.196200;237.146000
25;0.833334;5.527231;-8.012291;213.967300;211.482300
26;0.866667;5.327023;-8.159672;183.580700;180.748000
27;0.900000;5.152307;-8.243979;148.226100;145.134400
28;0.933334;4.924371;-8.241603;111.887800;108.570600
29;0.966667;4.711870;-8.169655;82.115520;78.657740
30;1.000000;4.493558;-8.058993;63.217480;59.652040
31;1.033334;4.476073;-7.937037;50.056240;46.595280
32;1.066667;5.183887;-7.786654;34.567090;31.964320
33;1.100000;5.425552;-7.614205;30.324320;28.135670
34;1.133334;6.192868;-7.447973;23.350210;22.095100
35;1.166667;6.699224;-7.306820;15.658840;15.051240
36;1.200000;6.513330;-7.216301;11.269370;10.566390
37;1.233333;5.256392;-7.175107;9.590149;7.671434
38;1.266667;4.665811;-7.180933;9.766938;7.251816
39;1.300000;4.172346;-7.236327;12.649940;9.585962
40;1.333333;3.671844;-7.346774;18.163280;14.488350
41;1.366667;3.513184;-7.507835;26.380000;22.385350
42;1.400000;3.404882;-7.709499;36.556300;32.251680
