frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.042603;-0.155602;0.073703;-0.039296
2;0.066667;0.119352;-0.294264;0.502830;0.327918
3;0.100000;0.183164;-0.452588;1.070532;0.801108
4;0.133333;0.281705;-0.597201;1.095803;0.780308
5;0.166667;0.432620;-0.729427;0.598609;0.301802
6;0.200000;0.609642;-0.870703;0.135696;-0.125366
7;0.233333;0.795561;-1.056582;0.032416;-0.228605
8;0.266667;1.020190;-1.315913;0.051046;-0.244677
9;0.300000;1.256434;-1.642225;0.130107;-0.255684
10;0.333333;1.406273;-1.995565;0.442397;-0.146895
11;0.366667;1.465779;-2.327273;0.775635;-0.085859
12;0.400000;1.518165;-2.618346;0.792246;-0.307936
13;0.433333;1.625123;-2.876806;0.537391;-0.714293
14;0.466667;1.813178;-3.125808;0.281262;-1.031367
15;0.500000;2.070864;-3.392141;0.142527;-1.178751
16;0.533333;2.352342;-3.692507;0.084093;-1.256073
17;0.566667;2.631509;-4.033471;0.094495;-1.307466
18;0.600000;2.863487;-4.406582;0.194138;-1.348958
19;0.633333;2.999191;-4.786367;0.375870;-1.411306
20;0.666667;3.075185;-5.148230;0.485506;-1.587538
21;0.700000;3.165435;-5.485418;0.432081;-1.887903
22;0.733334;3.319223;-5.804027;0.273785;-2.211019
23;0.766667;3.545590;-6.116555;0.128520;-2.442445
24;0.800000;3.834328;-6.439039;0.059596;-2.545115
25;0.833334;4.140218;-6.786097;0.051474;-2.594404
26;0.866667;4.417730;-7.158495;0.107018;-2.633747
27;0.900000;4.640211;-7.537032;0.244541;-2.652279
28;0.933334;4.827056;-7.897141;0.364374;-2.705711
29;0.966667;5.009555;-8.230570;0.382459;-2.838556
30;1.000000;5.200599;-8.539320;0.312244;-3.026477
31;1.033334;5.410699;-8.829986;0.212162;-3.207124
32;1.066667;5.644512;-9.110302;0.131745;-3.334045
33;1.100000;5.892348;-9.386599;0.088049;-3.406201
34;1.133334;6.136559;-9.662086;0.077810;-3.447717
35;1.166667;6.363670;-9.935588;0.096577;-3.475341
36;1.200000;6.560751;-10.201110;0.140294;-3.500062
37;1.233333;6.722016;-10.451030;0.195763;-3.533254
38;1.266667;6.848063;-10.679280;0.243039;-3.588177
39;1.300000;6.941028;-10.882060;0.266581;-3.674449
40;1.333333;7.005045;-11.057690;0.261791;-3.790852
41;1.366667;7.044146;-11.206360;0.236302;-3.925913
42;1.400000;7.062331;-11.329650;0.203303;-4.064013
43;1.433333;7.064583;-11.429890;0.173153;-4.192154
44;1.466667;7.053183;-11.509280;0.151865;-4.304234
45;1.500000;7.026364;-11.569380;0.142745;-4.400269
46;1.533333;6.980836;-11.610480;0.145644;-4.484002
47;1.566666;6.914850;-11.631880;0.157503;-4.559527
48;1.600000;6.829854;-11.632280;0.173186;-4.629244
49;1.633333;6.729742;-11.610470;0.186354;-4.694373
50;1.666666;6.619889;-11.565710;0.191385;-4.754437
51;1.700000;6.506000;-11.498110;0.185948;-4.806160
52;1.733333;6.393476;-11.408670;0.171349;-4.843850
53;1.766666;6.283740;-11.299040;0.152907;-4.862392
54;1.800000;6.176429;-11.171200;0.135008;-4.859761
55;1.833333;6.067456;-11.027140;0.122476;-4.837204
56;1.866666;5.954139;-10.868310;0.117407;-4.796760
57;1.899999;5.836792;-10.695490;0.119073;-4.739621
58;1.933333;5.717141;-10.509000;0.125238;-4.666620
59;1.966666;5.595785;-10.308960;0.132286;-4.580889
60;1.999999;5.472549;-10.095590;0.137066;-4.485974
61;2.033333;5.343602;-9.869676;0.140220;-4.385854
62;2.066666;5.203945;-9.632511;0.144278;-4.284288
63;2.099999;5.052238;-9.385510;0.152031;-4.181242
64;2.133333;4.888336;-9.129390;0.164750;-4.076303
65;2.166666;4.713054;-8.864185;0.181317;-3.969815
66;2.199999;4.525843;-8.589496;0.198183;-3.865469
67;2.233333;4.328447;-8.305144;0.209311;-3.767387
68;2.266666;4.121046;-8.011584;0.211911;-3.678627
69;2.299999;3.901477;-7.710184;0.207073;-3.601634
70;2.333333;3.669739;-7.403137;0.196944;-3.536454
71;2.366666;3.426350;-7.093277;0.186812;-3.480114
72;2.399999;3.189400;-6.783353;0.171094;-3.422859
73;2.433332;2.962536;-6.474915;0.155810;-3.356569
74;2.466666;2.726418;-6.168054;0.152843;-3.288792
75;2.499999;2.499293;-5.863698;0.146424;-3.217981
76;2.533332;2.281769;-5.565047;0.138685;-3.144592
77;2.566666;2.062089;-5.274963;0.139342;-3.073532
78;2.599999;1.841787;-4.995742;0.146453;-3.007503
79;2.633332;1.623927;-4.730009;0.156711;-2.949371
80;2.666666;1.419056;-4.480076;0.166869;-2.894151
81;2.699999;1.234880;-4.246646;0.175032;-2.836734
82;2.733332;1.067016;-4.029260;0.176353;-2.785892
83;2.766665;0.911659;-3.827989;0.167708;-2.748623
84;2.799999;0.768539;-3.644422;0.155287;-2.720596
85;2.833332;0.636716;-3.480542;0.149271;-2.694555
86;2.866665;0.514823;-3.337251;0.155846;-2.666582
87;2.899999;0.403591;-3.213482;0.173509;-2.636381
88;2.933332;0.303768;-3.106199;0.193850;-2.608581
89;2.966665;0.216586;-3.011998;0.204776;-2.590636
90;2.999999;0.140348;-2.929183;0.202596;-2.586240
91;3.033332;0.085453;-2.859606;0.186096;-2.588057
92;3.066665;0.049755;-2.806741;0.166290;-2.590696
93;3.099998;0.026946;-2.772842;0.152472;-2.593425
94;3.133332;0.015477;-2.758785;0.145184;-2.598125
95;3.166665;0.016539;-2.765339;0.143574;-2.605226
96;3.199998;0.031883;-2.792871;0.146533;-2.614455
97;3.233332;0.062369;-2.840842;0.151155;-2.627318
98;3.266665;0.108057;-2.908213;0.153672;-2.646485
99;3.299998;0.168735;-2.994282;0.152142;-2.673405
100;3.333332;0.244172;-3.098947;0.147986;-2.706789
101;3.366665;0.333348;-3.222244;0.144538;-2.744358
102;3.399998;0.435619;-3.363907;0.144060;-2.784228
103;3.433331;0.550757;-3.523196;0.146797;-2.825641
104;3.466665;0.678310;-3.698849;0.151170;-2.869369
105;3.499998;0.818134;-3.889185;0.153846;-2.917205
106;3.533331;0.970702;-4.092913;0.152495;-2.969715
107;3.566665;1.136346;-4.309607;0.148025;-3.025236
108;3.599998;1.314527;-4.539288;0.142960;-3.081801
109;3.633331;1.503893;-4.781760;0.139183;-3.138684
110;3.666665;1.703135;-5.036147;0.136502;-3.196510
111;3.699998;1.911733;-5.301114;0.133056;-3.256325
112;3.733331;2.129432;-5.575544;0.128185;-3.317926
113;3.766665;2.356003;-5.858988;0.123681;-3.379304
114;3.799998;2.589893;-6.150970;0.121713;-3.439365
115;3.833331;2.828886;-6.450284;0.122603;-3.498795
116;3.866664;3.071414;-6.754668;0.123688;-3.559566
117;3.899998;3.317161;-7.061402;0.120914;-3.623327
118;3.933331;3.566480;-7.368652;0.113555;-3.688617
119;3.966664;3.818581;-7.675725;0.105109;-3.752034
120;3.999998;4.070868;-7.982150;0.099590;-3.811692
121;4.033331;4.319056;-8.287010;0.099315;-3.868640
122;4.066664;4.558276;-8.588675;0.104859;-3.925540
123;4.099998;4.783887;-8.884844;0.115434;-3.985522
124;4.133331;4.992753;-9.172852;0.128789;-4.051309
125;4.166664;5.183996;-9.450089;0.141594;-4.124499
126;4.199997;5.358095;-9.714343;0.150848;-4.205400
127;4.233331;5.516754;-9.964046;0.154884;-4.292408
128;4.266664;5.661678;-10.198190;0.153818;-4.382694
129;4.299997;5.794059;-10.416300;0.149229;-4.473008
130;4.333331;5.913984;-10.618100;0.143482;-4.560631
131;4.366664;6.020708;-10.803340;0.138812;-4.643825
132;4.399997;6.112782;-10.971750;0.136850;-4.722118
133;4.433331;6.188541;-11.122760;0.138240;-4.795982
134;4.466664;6.246874;-11.255630;0.142455;-4.866297
135;4.499997;6.287409;-11.369420;0.147982;-4.934025
136;4.533330;6.310540;-11.463280;0.152708;-5.000037
137;4.566664;6.317166;-11.536550;0.154925;-5.064456
138;4.599997;6.308286;-11.588940;0.153881;-5.126776
139;4.633330;6.284389;-11.620580;0.150008;-5.186186
140;4.666664;6.245727;-11.631820;0.144497;-5.241595
141;4.699997;6.192085;-11.623250;0.138842;-5.292318
142;4.733330;6.123263;-11.595480;0.134187;-5.338027
143;4.766664;6.038984;-11.549110;0.131099;-5.379026
144;4.799997;5.939469;-11.484680;0.129376;-5.415830
