frame;time;current;rest
1;0.033333;100.008100;99.999340;1.000087
2;0.066667;100.030300;99.999340;1.000309
3;0.100000;100.068700;99.999340;1.000694
4;0.133333;100.124800;99.999340;1.001254
5;0.166667;100.197500;99.999340;1.001982
6;0.200000;100.284000;99.999340;1.002847
7;0.233333;100.380700;99.999340;1.003814
8;0.266667;100.483200;99.999340;1.004839
9;0.300000;100.587900;99.999340;1.005886
10;0.333333;100.690600;99.999340;1.006913
11;0.366667;100.787300;99.999340;1.007880
12;0.400000;100.874700;99.999340;1.008754
13;0.433333;100.949800;99.999340;1.009505
14;0.466667;101.010300;99.999340;1.010109
15;0.500000;101.055200;99.999340;1.010558
16;0.533333;101.085700;99.999340;1.010863
17;0.566667;101.103800;99.999340;1.011045
18;0.600000;101.113200;99.999340;1.011138
19;0.633333;101.118100;99.999340;1.011188
20;0.666667;101.122200;99.999340;1.011229
21;0.700000;101.128600;99.999340;1.011293
22;0.733334;101.139000;99.999340;1.011397
23;0.766667;101.153600;99.999340;1.011542
24;0.800000;101.171200;99.999340;1.011718
25;0.833334;101.189400;99.999340;1.011900
26;0.866667;101.205700;99.999340;1.012064
27;0.900000;101.217600;99.999340;1.012183
28;0.933334;101.222700;99.999340;1.012234
29;0.966667;101.219900;99.999340;1.012206
30;1.000000;101.208300;99.999340;1.012090
31;1.033334;101.188600;99.999340;1.011892
32;1.066667;101.161400;99.999340;1.011621
33;1.100000;101.127800;99.999340;1.011285
34;1.133334;101.089400;99.999340;1.010901
35;1.166667;101.047700;99.999340;1.010483
36;1.200000;101.003500;99.999340;1.010042
37;1.233333;100.958000;99.999340;1.009587
38;1.266667;100.911300;99.999340;1.009120
39;1.300000;100.862700;99.999340;1.008633
40;1.333333;100.810600;99.999340;1.008113
41;1.366667;100.753800;99.999340;1.007545
42;1.400000;100.693300;99.999340;1.006940
43;1.433333;100.631600;99.999340;1.006322
44;1.466667;100.572100;99.999340;1.005728
45;1.500000;100.518300;99.999340;1.005190
46;1.533333;100.472900;99.999340;1.004736
47;1.566666;100.437100;99.999340;1.004378
48;1.600000;100.411500;99.999340;1.004121
49;1.633333;100.395800;99.999340;1.003965
50;1.666666;100.390000;99.999340;1.003907
51;1.700000;100.394000;99.999340;1.003946
52;1.733333;100.407100;99.999340;1.004077
53;1.766666;100.429400;99.999340;1.004301
54;1.800000;100.460000;99.999340;1.004607
55;1.833333;100.498900;99.999340;1.004996
56;1.866666;100.544900;99.999340;1.005455
57;1.899999;100.597200;99.999340;1.005979
58;1.933333;100.654300;99.999340;1.006549
59;1.966666;100.715000;99.999340;1.007156
60;1.999999;100.777100;99.999340;1.007778
