frame;time;current;rest
1;0.033333;100.009600;99.999750;1.000099
2;0.066667;100.032200;99.999750;1.000325
3;0.100000;100.071100;99.999750;1.000714
4;0.133333;100.128500;99.999750;1.001287
5;0.166667;100.204900;99.999750;1.002052
6;0.200000;100.299600;99.999750;1.002999
7;0.233333;100.410300;99.999750;1.004105
8;0.266667;100.533400;99.999750;1.005337
9;0.300000;100.664900;99.999750;1.006651
10;0.333333;100.799800;99.999750;1.008000
11;0.366667;100.933600;99.999750;1.009338
12;0.400000;101.061300;99.999750;1.010615
13;0.433333;101.178000;99.999750;1.011782
14;0.466667;101.278800;99.999750;1.012791
15;0.500000;101.358800;99.999750;1.013590
16;0.533333;101.413300;99.999750;1.014135
17;0.566667;101.438400;99.999750;1.014387
18;0.600000;101.431800;99.999750;1.014320
19;0.633333;101.392900;99.999750;1.013931
20;0.666667;101.324400;99.999750;1.013246
21;0.700000;101.231700;99.999750;1.012319
22;0.733334;101.123400;99.999750;1.011237
23;0.766667;101.010300;99.999750;1.010106
24;0.800000;100.904400;99.999750;1.009047
25;0.833334;100.817200;99.999750;1.008174
26;0.866667;100.758200;99.999750;1.007584
27;0.900000;100.733700;99.999750;1.007340
28;0.933334;100.746000;99.999750;1.007463
29;0.966667;100.793100;99.999750;1.007934
30;1.000000;100.869400;99.999750;1.008697
31;1.033334;100.966200;99.999750;1.009665
32;1.066667;101.073500;99.999750;1.010737
33;1.100000;101.180700;99.999750;1.011809
34;1.133334;101.278300;99.999750;1.012786
35;1.166667;101.358800;99.999750;1.013591
36;1.200000;101.416800;99.999750;1.014170
37;1.233333;101.449600;99.999750;1.014498
38;1.266667;101.457000;99.999750;1.014573
39;1.300000;101.441300;99.999750;1.014416
40;1.333333;101.405900;99.999750;1.014061
41;1.366667;101.355700;99.999750;1.013559
42;1.400000;101.295600;99.999750;1.012959
43;1.433333;101.230900;99.999750;1.012312
44;1.466667;101.166000;99.999750;1.011662
45;1.500000;101.104000;99.999750;1.011042
46;1.533333;101.047500;99.999750;1.010478
47;1.566666;100.997700;99.999750;1.009979
48;1.600000;100.954500;99.999750;1.009548
49;1.633333;100.917400;99.999750;1.009177
50;1.666666;100.884900;99.999750;1.008852
51;1.700000;100.855300;99.999750;1.008556
52;1.733333;100.827000;99.999750;1.008273
53;1.766666;100.798900;99.999750;1.007991
54;1.800000;100.769800;99.999750;1.007700
55;1.833333;100.740000;99.999750;1.007402
56;1.866666;100.710000;99.999750;1.007102
57;1.899999;100.681100;99.999750;1.006813
58;1.933333;100.654900;99.999750;1.006552
59;1.966666;100.633700;99.999750;1.006340
60;1.999999;100.619400;99.999750;1.006197
61;2.033333;100.613600;99.999750;1.006139
62;2.066666;100.617800;99.999750;1.006180
63;2.099999;100.632200;99.999750;1.006325
64;2.133333;100.656900;99.999750;1.006571
65;2.166666;100.690700;99.999750;1.006909
66;2.199999;100.732100;99.999750;1.007324
67;2.233333;100.778900;99.999750;1.007791
68;2.266666;100.828800;99.999750;1.008291
69;2.299999;100.879500;99.999750;1.008798
70;2.333333;100.928900;99.999750;1.009292
71;2.366666;100.975600;99.999750;1.009759
72;2.399999;101.018400;99.999750;1.010186
73;2.433332;101.056700;99.999750;1.010570
74;2.466666;101.090600;99.999750;1.010908
75;2.499999;101.120200;99.999750;1.011205
76;2.533332;101.146200;99.999750;1.011464
77;2.566666;101.168700;99.999750;1.011690
78;2.599999;101.188200;99.999750;1.011885
79;2.633332;101.204700;99.999750;1.012050
80;2.666666;101.218000;99.999750;1.012183
81;2.699999;101.227800;99.999750;1.012280
82;2.733332;101.233700;99.999750;1.012339
83;2.766665;101.235600;99.999750;1.012358
84;2.799999;101.233500;99.999750;1.012337
85;2.833332;101.227900;99.999750;1.012282
86;2.866665;101.219800;99.999750;1.012200
87;2.899999;101.210300;99.999750;1.012105
88;2.933332;101.200900;99.999750;1.012012
89;2.966665;101.193100;99.999750;1.011934
90;2.999999;101.188300;99.999750;1.011886
91;3.033332;101.187500;99.999750;1.011878
92;3.066665;101.191400;99.999750;1.011916
93;3.099998;101.199800;99.999750;1.012000
94;3.133332;101.212100;99.999750;1.012124
95;3.166665;101.227200;99.999750;1.012274
96;3.199998;101.243200;99.999750;1.012435
97;3.233332;101.258300;99.999750;1.012586
98;3.266665;101.270400;99.999750;1.012706
99;3.299998;101.277600;99.999750;1.012778
100;3.333332;101.278800;99.999750;1.012790
101;3.366665;101.273400;99.999750;1.012737
102;3.399998;101.261700;99.999750;1.012619
103;3.433331;101.244400;99.999750;1.012447
104;3.466665;101.223000;99.999750;1.012233
105;3.499998;101.198700;99.999750;1.011989
106;3.533331;101.172700;99.999750;1.011730
107;3.566665;101.146000;99.999750;1.011463
108;3.599998;101.119300;99.999750;1.011195
109;3.633331;101.092700;99.999750;1.010929
110;3.666665;101.066400;99.999750;1.010667
111;3.699998;101.040600;99.999750;1.010409
112;3.733331;101.015400;99.999750;1.010156
113;3.766665;100.991000;99.999750;1.009912
114;3.799998;100.968000;99.999750;1.009682
115;3.833331;100.946900;99.999750;1.009471
116;3.866664;100.928400;99.999750;1.009287
117;3.899998;100.913500;99.999750;1.009137
118;3.933331;100.902400;99.999750;1.009027
119;3.966664;100.896000;99.999750;1.008963
120;3.999998;100.894500;99.999750;1.008947
121;4.033331;100.897900;99.999750;1.008982
122;4.066664;100.906400;99.999750;1.009067
123;4.099998;100.919500;99.999750;1.009198
124;4.133331;100.936900;99.999750;1.009372
125;4.166664;100.957900;99.999750;1.009581
126;4.199997;100.981900;99.999750;1.009821
127;4.233331;101.008100;99.999750;1.010084
128;4.266664;101.036000;99.999750;1.010362
129;4.299997;101.064700;99.999750;1.010649
130;4.333331;101.093500;99.999750;1.010938
131;4.366664;101.121700;99.999750;1.011219
132;4.399997;101.148600;99.999750;1.011488
133;4.433331;101.173300;99.999750;1.011736
134;4.466664;101.195600;99.999750;1.011959
135;4.499997;101.214800;99.999750;1.012150
136;4.533330;101.230400;99.999750;1.012307
137;4.566664;101.242500;99.999750;1.012427
138;4.599997;101.250900;99.999750;1.012512
139;4.633330;101.255900;99.999750;1.012562
140;4.666664;101.258100;99.999750;1.012584
141;4.699997;101.258000;99.999750;1.012582
142;4.733330;101.256400;99.999750;1.012566
143;4.766664;101.254100;99.999750;1.012544
144;4.799997;101.251800;99.999750;1.012521
145;4.833330;101.250200;99.999750;1.012505
146;4.866663;101.249900;99.999750;1.012502
147;4.899997;101.250900;99.999750;1.012512
148;4.933330;101.253300;99.999750;1.012535
149;4.966663;101.256700;99.999750;1.012570
150;4.999997;101.260800;99.999750;1.012610
151;5.033330;101.265100;99.999750;1.012654
152;5.066663;101.269100;99.999750;1.012694
153;5.099997;101.272600;99.999750;1.012728
154;5.133330;101.275100;99.999750;1.012753
155;5.166663;101.276300;99.999750;1.012765
156;5.199996;101.276100;99.999750;1.012763
157;5.233330;101.274100;99.999750;1.012744
158;5.266663;101.270700;99.999750;1.012710
159;5.299996;101.265700;99.999750;1.012660
160;5.333330;101.259400;99.999750;1.012596
161;5.366663;101.251700;99.999750;1.012519
162;5.399996;101.242700;99.999750;1.012430
163;5.433330;101.232500;99.999750;1.012327
164;5.466663;101.220900;99.999750;1.012211
165;5.499996;101.207900;99.999750;1.012082
166;5.533329;101.193600;99.999750;1.011938
167;5.566663;101.177700;99.999750;1.011780
168;5.599996;101.160700;99.999750;1.011610
169;5.633329;101.142800;99.999750;1.011431
170;5.666663;101.124500;99.999750;1.011248
171;5.699996;101.106500;99.999750;1.011068
172;5.733329;101.089400;99.999750;1.010896
173;5.766663;101.073700;99.999750;1.010740
174;5.799996;101.060100;99.999750;1.010603
175;5.833329;101.048800;99.999750;1.010491
176;5.866663;101.040200;99.999750;1.010405
177;5.899996;101.034400;99.999750;1.010347
178;5.933329;101.031500;99.999750;1.010317
179;5.966662;101.031200;99.999750;1.010314
180;5.999996;101.033600;99.999750;1.010339
181;6.033329;101.038600;99.999750;1.010388
182;6.066662;101.045900;99.999750;1.010461
183;6.099996;101.055400;99.999750;1.010557
184;6.133329;101.067100;99.999750;1.010673
185;6.166662;101.080600;99.999750;1.010809
186;6.199996;101.095800;99.999750;1.010961
187;6.233329;101.112400;99.999750;1.011127
188;6.266662;101.130000;99.999750;1.011302
189;6.299995;101.148100;99.999750;1.011484
190;6.333329;101.166500;99.999750;1.011668
191;6.366662;101.184500;99.999750;1.011847
192;6.399995;101.201600;99.999750;1.012019
193;6.433329;101.217300;99.999750;1.012176
194;6.466662;101.231100;99.999750;1.012314
195;6.499995;101.242700;99.999750;1.012430
196;6.533329;101.251700;99.999750;1.012520
197;6.566662;101.258000;99.999750;1.012583
198;6.599995;101.261800;99.999750;1.012620
199;6.633328;101.263100;99.999750;1.012633
200;6.666662;101.262200;99.999750;1.012625
201;6.699995;101.259700;99.999750;1.012599
202;6.733328;101.256000;99.999750;1.012562
203;6.766662;101.251600;99.999750;1.012518
204;6.799995;101.247000;99.999750;1.012473
205;6.833328;101.243100;99.999750;1.012434
206;6.866662;101.240300;99.999750;1.012405
207;6.899995;101.238800;99.999750;1.012391
208;6.933328;101.239200;99.999750;1.012394
209;6.966661;101.241300;99.999750;1.012416
210;6.999995;101.245100;99.999750;1.012453
211;7.033328;101.250200;99.999750;1.012504
212;7.066661;101.256100;99.999750;1.012564
213;7.099995;101.262400;99.999750;1.012627
214;7.133328;101.268500;99.999750;1.012687
215;7.166661;101.273800;99.999750;1.012740
216;7.199995;101.277900;99.999750;1.012781
217;7.233328;101.280400;99.999750;1.012807
218;7.266661;101.281000;99.999750;1.012813
219;7.299994;101.279700;99.999750;1.012800
220;7.333328;101.276500;99.999750;1.012768
221;7.366661;101.271400;99.999750;1.012717
222;7.399994;101.264500;99.999750;1.012647
223;7.433328;101.256000;99.999750;1.012563
224;7.466661;101.246100;99.999750;1.012464
225;7.499994;101.235100;99.999750;1.012354
226;7.533328;101.223300;99.999750;1.012236
227;7.566661;101.210900;99.999750;1.012112
228;7.599994;101.198300;99.999750;1.011985
229;7.633327;101.185700;99.999750;1.011860
230;7.666661;101.173700;99.999750;1.011739
231;7.699994;101.162300;99.999750;1.011626
232;7.733327;101.151900;99.999750;1.011522
233;7.766661;101.142700;99.999750;1.011429
234;7.799994;101.134600;99.999750;1.011348
235;7.833327;101.127900;99.999750;1.011281
236;7.866661;101.122400;99.999750;1.011226
237;7.899994;101.118200;99.999750;1.011185
238;7.933327;101.115400;99.999750;1.011157
239;7.966660;101.114000;99.999750;1.011142
240;7.999994;101.113900;99.999750;1.011142
241;8.033327;101.115300;99.999750;1.011156
242;8.066661;101.118200;99.999750;1.011185
243;8.099995;101.122600;99.999750;1.011229
244;8.133328;101.128300;99.999750;1.011286
245;8.166662;101.135400;99.999750;1.011356
246;8.199996;101.143500;99.999750;1.011438
247;8.233330;101.152600;99.999750;1.011528
248;8.266664;101.162300;99.999750;1.011626
249;8.299997;101.172400;99.999750;1.011727
250;8.333331;101.182600;99.999750;1.011828
251;8.366665;101.192500;99.999750;1.011928
252;8.399999;101.202000;99.999750;1.012022
253;8.433332;101.210800;99.999750;1.012111
254;8.466666;101.218800;99.999750;1.012190
255;8.500000;101.225900;99.999750;1.012262
256;8.533334;101.232100;99.999750;1.012324
257;8.566668;101.237500;99.999750;1.012377
258;8.600001;101.242000;99.999750;1.012423
259;8.633335;101.245800;99.999750;1.012461
260;8.666669;101.249000;99.999750;1.012493
261;8.700003;101.251600;99.999750;1.012519
262;8.733336;101.253900;99.999750;1.012542
263;8.766670;101.255900;99.999750;1.012562
264;8.800004;101.257700;99.999750;1.012579
265;8.833338;101.259200;99.999750;1.012594
266;8.866672;101.260600;99.999750;1.012608
267;8.900005;101.261600;99.999750;1.012619
268;8.933339;101.262400;99.999750;1.012627
