frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
25;0.833334;19;19.001050;19.000000;1.000073;1.000055;1.000073;1.000066;1.000064;1.000056;1.000054;1.000053;1.000053;1.000053;1.000053;1.000052;1.000053;1.000052;1.000052;1.000052;1.000052;1.000051;1.000053;1.000052;1.000051
26;0.866667;19;19.001290;19.000000;1.000087;1.000068;1.000087;1.000081;1.000078;1.000068;1.000066;1.000065;1.000065;1.000065;1.000065;1.000066;1.000065;1.000064;1.000065;1.000065;1.000065;1.000064;1.000064;1.000065;1.000064
27;0.900000;19;19.001500;19.000000;1.000102;1.000079;1.000102;1.000095;1.000090;1.000079;1.000077;1.000076;1.000076;1.000076;1.000076;1.000076;1.000076;1.000076;1.000075;1.000075;1.000076;1.000076;1.000075;1.000075;1.000075
28;0.933334;19;19.001580;19.000000;1.000107;1.000083;1.000107;1.000101;1.000094;1.000085;1.000081;1.000080;1.000080;1.000080;1.000080;1.000080;1.000079;1.000080;1.000080;1.000080;1.000079;1.000079;1.000079;1.000079;1.000079
29;0.966667;19;19.001590;19.000000;1.000107;1.000084;1.000107;1.000101;1.000094;1.000088;1.000084;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000080;1.000079;1.000080
30;1.000000;19;19.001650;19.000000;1.000111;1.000087;1.000111;1.000104;1.000098;1.000095;1.000089;1.000084;1.000084;1.000083;1.000083;1.000083;1.000083;1.000082;1.000082;1.000083;1.000082;1.000082;1.000082;1.000082;1.000082
31;1.033334;19;19.001820;19.000000;1.000122;1.000096;1.000122;1.000115;1.000109;1.000106;1.000099;1.000093;1.000091;1.000091;1.000091;1.000090;1.000091;1.000090;1.000091;1.000090;1.000090;1.000090;1.000090;1.000089;1.000090
32;1.066667;19;19.002010;19.000000;1.000135;1.000106;1.000135;1.000129;1.000123;1.000117;1.000110;1.000104;1.000101;1.000100;1.000100;1.000100;1.000100;1.000099;1.000100;1.000099;1.000100;1.000099;1.000100;1.000099;1.000099
33;1.100000;19;19.002170;19.000000;1.000145;1.000114;1.000145;1.000139;1.000132;1.000126;1.000120;1.000113;1.000108;1.000108;1.000108;1.000107;1.000107;1.000107;1.000106;1.000107;1.000106;1.000107;1.000107;1.000107;1.000105
34;1.133334;19;19.002280;19.000000;1.000152;1.000120;1.000152;1.000145;1.000139;1.000133;1.000127;1.000122;1.000115;1.000114;1.000113;1.000113;1.000113;1.000112;1.000112;1.000113;1.000112;1.000111;1.000112;1.000112;1.000111
