frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
25;0.833334;19;19.000240;19.000000;1.000063;1.000013;1.000063;1.000056;1.000050;1.000030;1.000010;1.000004;1.000003;1.000003;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000002;1.000001
26;0.866667;19;19.000350;19.000000;1.000089;1.000018;1.000089;1.000082;1.000075;1.000050;1.000016;1.000007;1.000004;1.000003;1.000003;1.000003;1.000002;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000002;1.000001
27;0.900000;19;19.000670;19.000000;1.000180;1.000035;1.000180;1.000171;1.000159;1.000090;1.000023;1.000009;1.000006;1.000005;1.000004;1.000003;1.000003;1.000002;1.000002;1.000002;1.000002;1.000001;1.000001;1.000001;1.000002
28;0.933334;19;19.001120;19.000000;1.000273;1.000059;1.000273;1.000255;1.000224;1.000164;1.000046;1.000027;1.000021;1.000018;1.000015;1.000015;1.000011;1.000010;1.000008;1.000007;1.000006;1.000006;1.000006;1.000005;1.000005
29;0.966667;19;19.001210;19.000000;1.000242;1.000064;1.000242;1.000221;1.000186;1.000151;1.000052;1.000042;1.000037;1.000033;1.000031;1.000028;1.000027;1.000023;1.000022;1.000022;1.000020;1.000018;1.000018;1.000017;1.000017
30;1.000000;19;19.001340;19.000000;1.000208;1.000070;1.000208;1.000190;1.000164;1.000140;1.000065;1.000055;1.000051;1.000049;1.000046;1.000044;1.000042;1.000042;1.000038;1.000037;1.000036;1.000034;1.000034;1.000034;1.000033
31;1.033334;19;19.001490;19.000000;1.000220;1.000079;1.000220;1.000201;1.000176;1.000151;1.000095;1.000064;1.000058;1.000056;1.000052;1.000049;1.000047;1.000046;1.000043;1.000041;1.000040;1.000039;1.000038;1.000037;1.000038
32;1.066667;19;19.001580;19.000000;1.000225;1.000083;1.000225;1.000211;1.000192;1.000173;1.000142;1.000069;1.000058;1.000054;1.000051;1.000049;1.000046;1.000046;1.000043;1.000039;1.000038;1.000037;1.000036;1.000036;1.000035
33;1.100000;19;19.002000;19.000000;1.000286;1.000105;1.000286;1.000272;1.000256;1.000232;1.000201;1.000096;1.000071;1.000065;1.000061;1.000057;1.000054;1.000051;1.000047;1.000046;1.000044;1.000042;1.000040;1.000038;1.000038
34;1.133334;19;19.002130;19.000000;1.000287;1.000112;1.000287;1.000271;1.000256;1.000228;1.000196;1.000136;1.000086;1.000076;1.000071;1.000067;1.000062;1.000058;1.000055;1.000053;1.000049;1.000047;1.000046;1.000046;1.000045
35;1.166667;19;19.001940;19.000000;1.000238;1.000102;1.000238;1.000228;1.000216;1.000198;1.000178;1.000153;1.000087;1.000071;1.000066;1.000062;1.000058;1.000055;1.000052;1.000049;1.000047;1.000047;1.000043;1.000043;1.000043
36;1.200000;19;19.002160;19.000000;1.000273;1.000114;1.000273;1.000263;1.000251;1.000235;1.000217;1.000195;1.000113;1.000076;1.000068;1.000062;1.000057;1.000053;1.000049;1.000046;1.000044;1.000042;1.000040;1.000039;1.000037
37;1.233333;19;19.002610;19.000000;1.000329;1.000138;1.000329;1.000318;1.000299;1.000280;1.000257;1.000228;1.000170;1.000094;1.000080;1.000073;1.000068;1.000063;1.000059;1.000055;1.000052;1.000050;1.000048;1.000046;1.000045
38;1.266667;19;19.002860;19.000000;1.000343;1.000151;1.000343;1.000332;1.000316;1.000299;1.000277;1.000250;1.000214;1.000117;1.000088;1.000080;1.000075;1.000069;1.000066;1.000062;1.000059;1.000056;1.000055;1.000052;1.000051
39;1.300000;19;19.003230;19.000000;1.000390;1.000170;1.000390;1.000377;1.000359;1.000339;1.000314;1.000283;1.000248;1.000163;1.000098;1.000085;1.000079;1.000073;1.000069;1.000065;1.000062;1.000059;1.000056;1.000057;1.000053
40;1.333333;19;19.003490;19.000000;1.000408;1.000184;1.000408;1.000391;1.000374;1.000354;1.000329;1.000300;1.000268;1.000216;1.000121;1.000095;1.000088;1.000082;1.000077;1.000072;1.000069;1.000065;1.000063;1.000062;1.000062
41;1.366667;19;19.003920;19.000000;1.000452;1.000206;1.000452;1.000437;1.000419;1.000397;1.000371;1.000341;1.000307;1.000263;1.000164;1.000106;1.000093;1.000086;1.000080;1.000075;1.000071;1.000068;1.000066;1.000063;1.000062
42;1.400000;19;19.004300;19.000000;1.000480;1.000226;1.000480;1.000465;1.000446;1.000422;1.000395;1.000364;1.000328;1.000289;1.000222;1.000129;1.000104;1.000097;1.000090;1.000086;1.000081;1.000078;1.000074;1.000072;1.000072
43;1.433333;19;19.004710;19.000000;1.000512;1.000248;1.000512;1.000498;1.000480;1.000457;1.000430;1.000401;1.000366;1.000328;1.000276;1.000169;1.000115;1.000102;1.000095;1.000089;1.000084;1.000081;1.000077;1.000077;1.000073
44;1.466667;19;19.005190;19.000000;1.000553;1.000273;1.000553;1.000537;1.000517;1.000493;1.000464;1.000432;1.000396;1.000356;1.000310;1.000232;1.000139;1.000114;1.000106;1.000100;1.000095;1.000091;1.000088;1.000086;1.000085
45;1.500000;19;19.005660;19.000000;1.000585;1.000298;1.000585;1.000569;1.000551;1.000527;1.000500;1.000469;1.000434;1.000395;1.000353;1.000292;1.000180;1.000125;1.000112;1.000106;1.000100;1.000096;1.000092;1.000089;1.000089
46;1.533333;19;19.006230;19.000000;1.000628;1.000328;1.000628;1.000613;1.000593;1.000569;1.000540;1.000507;1.000470;1.000429;1.000385;1.000333;1.000247;1.000151;1.000125;1.000117;1.000111;1.000107;1.000104;1.000101;1.000099
47;1.566666;19;19.006780;19.000000;1.000665;1.000357;1.000665;1.000649;1.000629;1.000605;1.000578;1.000546;1.000510;1.000470;1.000427;1.000380;1.000312;1.000196;1.000138;1.000125;1.000117;1.000114;1.000109;1.000106;1.000104
48;1.600000;19;19.007410;19.000000;1.000709;1.000390;1.000709;1.000694;1.000674;1.000649;1.000620;1.000587;1.000549;1.000508;1.000464;1.000415;1.000358;1.000268;1.000166;1.000137;1.000129;1.000124;1.000121;1.000119;1.000116
49;1.633333;19;19.008050;19.000000;1.000748;1.000423;1.000748;1.000733;1.000713;1.000689;1.000661;1.000628;1.000592;1.000552;1.000509;1.000461;1.000409;1.000336;1.000217;1.000153;1.000138;1.000131;1.000128;1.000123;1.000121
50;1.666666;19;19.008730;19.000000;1.000795;1.000459;1.000795;1.000778;1.000758;1.000733;1.000704;1.000671;1.000633;1.000592;1.000548;1.000500;1.000448;1.000387;1.000293;1.000186;1.000152;1.000144;1.000140;1.000135;1.000132
51;1.700000;19;19.009460;19.000000;1.000838;1.000498;1.000838;1.000825;1.000797;1.000775;1.000748;1.000715;1.000679;1.000639;1.000595;1.000548;1.000497;1.000440;1.000364;1.000245;1.000170;1.000152;1.000146;1.000144;1.000142
52;1.733333;19;19.010200;19.000000;1.000882;1.000537;1.000882;1.000864;1.000844;1.000819;1.000791;1.000758;1.000722;1.000682;1.000638;1.000590;1.000540;1.000484;1.000421;1.000325;1.000209;1.000167;1.000158;1.000154;1.000153
53;1.766666;19;19.011010;19.000000;1.000927;1.000580;1.000927;1.000908;1.000889;1.000865;1.000837;1.000805;1.000769;1.000729;1.000686;1.000639;1.000588;1.000534;1.000475;1.000397;1.000279;1.000191;1.000170;1.000165;1.000162
54;1.800000;19;19.011830;19.000000;1.000966;1.000623;1.000966;1.000950;1.000931;1.000907;1.000879;1.000848;1.000812;1.000773;1.000730;1.000683;1.000634;1.000581;1.000524;1.000458;1.000364;1.000241;1.000190;1.000180;1.000177
55;1.833333;19;19.012720;19.000000;1.001012;1.000670;1.001012;1.000992;1.000973;1.000951;1.000924;1.000893;1.000858;1.000819;1.000777;1.000731;1.000682;1.000629;1.000573;1.000512;1.000436;1.000324;1.000229;1.000207;1.000203
56;1.866666;19;19.013720;19.000000;1.001051;1.000722;1.001051;1.001029;1.001011;1.000989;1.000963;1.000934;1.000900;1.000862;1.000822;1.000778;1.000731;1.000680;1.000627;1.000570;1.000505;1.000419;1.000313;1.000272;1.000267
57;1.899999;19;19.015420;19.000000;1.001091;1.000812;1.001091;1.001073;1.001054;1.001032;1.001008;1.000981;1.000952;1.000920;1.000884;1.000847;1.000806;1.000762;1.000717;1.000670;1.000620;1.000565;1.000506;1.000471;1.000466
58;1.933333;19;19.028590;19.000000;1.001661;1.001505;1.001407;1.001409;1.001413;1.001419;1.001426;1.001435;1.001446;1.001457;1.001470;1.001484;1.001500;1.001518;1.001536;1.001555;1.001576;1.001601;1.001617;1.001655;1.001661
59;1.966666;19;19.164300;19.000000;1.010474;1.008648;1.006986;1.007053;1.007155;1.007290;1.007456;1.007648;1.007863;1.008096;1.008341;1.008594;1.008851;1.009107;1.009355;1.009594;1.009819;1.010027;1.010218;1.010380;1.010474
60;1.999999;19;19.426370;19.000000;1.024392;1.022440;1.020569;1.020699;1.020806;1.020955;1.021140;1.021355;1.021595;1.021853;1.022124;1.022403;1.022683;1.022959;1.023227;1.023483;1.023723;1.023946;1.024147;1.024307;1.024392
61;2.033333;19;19.711880;19.000000;1.037818;1.037467;1.037138;1.037178;1.037176;1.037196;1.037223;1.037236;1.037324;1.037331;1.037415;1.037472;1.037491;1.037561;1.037611;1.037630;1.037713;1.037753;1.037797;1.037814;1.037818
