frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
25;0.833334;19;19.006880;19.000000;1.000535;1.000362;1.000161;1.000153;1.000163;1.000207;1.000253;1.000293;1.000332;1.000367;1.000400;1.000429;1.000456;1.000478;1.000497;1.000512;1.000523;1.000530;1.000535;1.000534;1.000058
26;0.866667;19;19.007520;19.000000;1.000584;1.000396;1.000187;1.000178;1.000180;1.000221;1.000272;1.000317;1.000360;1.000399;1.000435;1.000467;1.000497;1.000522;1.000542;1.000560;1.000571;1.000580;1.000584;1.000583;1.000063
27;0.900000;19;19.008220;19.000000;1.000639;1.000433;1.000214;1.000206;1.000201;1.000236;1.000292;1.000343;1.000390;1.000434;1.000474;1.000511;1.000542;1.000569;1.000594;1.000611;1.000625;1.000634;1.000639;1.000639;1.000069
28;0.933334;19;19.008870;19.000000;1.000691;1.000467;1.000241;1.000233;1.000225;1.000250;1.000308;1.000365;1.000417;1.000465;1.000509;1.000549;1.000583;1.000614;1.000639;1.000661;1.000675;1.000684;1.000691;1.000689;1.000076
29;0.966667;19;19.009500;19.000000;1.000737;1.000500;1.000273;1.000265;1.000255;1.000268;1.000323;1.000386;1.000443;1.000494;1.000542;1.000585;1.000622;1.000655;1.000683;1.000704;1.000722;1.000732;1.000737;1.000736;1.000081
30;1.000000;19;19.010190;19.000000;1.000786;1.000536;1.000313;1.000304;1.000293;1.000294;1.000341;1.000408;1.000469;1.000525;1.000576;1.000622;1.000663;1.000699;1.000727;1.000751;1.000769;1.000780;1.000786;1.000785;1.000086
31;1.033334;19;19.010940;19.000000;1.000838;1.000576;1.000359;1.000349;1.000336;1.000329;1.000363;1.000430;1.000498;1.000558;1.000613;1.000661;1.000707;1.000744;1.000775;1.000801;1.000819;1.000832;1.000838;1.000837;1.000091
32;1.066667;19;19.011750;19.000000;1.000892;1.000618;1.000412;1.000400;1.000386;1.000373;1.000391;1.000453;1.000527;1.000592;1.000651;1.000703;1.000751;1.000791;1.000824;1.000852;1.000871;1.000885;1.000892;1.000890;1.000098
33;1.100000;19;19.012610;19.000000;1.000947;1.000664;1.000475;1.000461;1.000445;1.000427;1.000428;1.000480;1.000556;1.000627;1.000690;1.000747;1.000796;1.000839;1.000876;1.000904;1.000925;1.000939;1.000947;1.000945;1.000105
34;1.133334;19;19.013560;19.000000;1.001002;1.000714;1.000548;1.000532;1.000513;1.000492;1.000478;1.000514;1.000587;1.000663;1.000731;1.000791;1.000845;1.000889;1.000928;1.000958;1.000981;1.000996;1.001002;1.001001;1.000111
35;1.166667;19;19.014590;19.000000;1.001059;1.000768;1.000632;1.000614;1.000592;1.000566;1.000542;1.000556;1.000620;1.000701;1.000773;1.000837;1.000893;1.000942;1.000981;1.001015;1.001037;1.001052;1.001059;1.001059;1.000118
36;1.200000;19;19.015700;19.000000;1.001118;1.000826;1.000726;1.000706;1.000681;1.000651;1.000620;1.000612;1.000660;1.000739;1.000816;1.000884;1.000944;1.000993;1.001036;1.001070;1.001094;1.001111;1.001118;1.001117;1.000125
37;1.233333;19;19.016900;19.000000;1.001176;1.000890;1.000832;1.000809;1.000780;1.000747;1.000709;1.000683;1.000708;1.000779;1.000860;1.000932;1.000995;1.001047;1.001092;1.001126;1.001153;1.001169;1.001176;1.001175;1.000132
38;1.266667;19;19.018200;19.000000;1.001233;1.000958;1.000948;1.000924;1.000891;1.000852;1.000810;1.000770;1.000767;1.000823;1.000904;1.000980;1.001046;1.001101;1.001148;1.001185;1.001211;1.001228;1.001233;1.001231;1.000140
39;1.300000;19;19.019580;19.000000;1.001294;1.001031;1.001075;1.001048;1.001013;1.000969;1.000921;1.000871;1.000844;1.000875;1.000949;1.001028;1.001097;1.001155;1.001204;1.001242;1.001269;1.001289;1.001294;1.001291;1.000147
40;1.333333;19;19.021060;19.000000;1.001355;1.001109;1.001212;1.001182;1.001144;1.001097;1.001043;1.000985;1.000938;1.000939;1.000998;1.001076;1.001148;1.001210;1.001260;1.001300;1.001329;1.001347;1.001355;1.001351;1.000155
41;1.366667;19;19.022650;19.000000;1.001414;1.001192;1.001357;1.001326;1.001284;1.001234;1.001174;1.001110;1.001049;1.001020;1.001053;1.001124;1.001200;1.001262;1.001316;1.001357;1.001387;1.001406;1.001414;1.001411;1.000163
42;1.400000;19;19.024320;19.000000;1.001510;1.001280;1.001510;1.001477;1.001433;1.001379;1.001315;1.001245;1.001172;1.001119;1.001120;1.001176;1.001249;1.001316;1.001370;1.001413;1.001444;1.001465;1.001473;1.001470;1.000172
43;1.433333;19;19.026080;19.000000;1.001670;1.001372;1.001670;1.001636;1.001589;1.001532;1.001464;1.001389;1.001307;1.001235;1.001204;1.001235;1.001299;1.001367;1.001423;1.001467;1.001500;1.001520;1.001530;1.001526;1.000181
44;1.466667;19;19.027920;19.000000;1.001836;1.001469;1.001836;1.001800;1.001752;1.001691;1.001620;1.001540;1.001452;1.001366;1.001307;1.001304;1.001352;1.001416;1.001475;1.001520;1.001553;1.001576;1.001583;1.001580;1.000189
45;1.500000;19;19.029850;19.000000;1.002007;1.001571;1.002007;1.001970;1.001920;1.001857;1.001783;1.001699;1.001606;1.001509;1.001428;1.001390;1.001413;1.001467;1.001524;1.001572;1.001606;1.001628;1.001636;1.001633;1.000199
46;1.533333;19;19.031870;19.000000;1.002183;1.001678;1.002183;1.002145;1.002093;1.002029;1.001952;1.001864;1.001766;1.001663;1.001564;1.001496;1.001484;1.001521;1.001574;1.001621;1.001657;1.001678;1.001688;1.001684;1.000208
47;1.566666;19;19.033990;19.000000;1.002363;1.001789;1.002363;1.002324;1.002272;1.002205;1.002126;1.002035;1.001933;1.001824;1.001713;1.001621;1.001573;1.001584;1.001624;1.001670;1.001705;1.001728;1.001737;1.001734;1.000217
48;1.600000;19;19.036190;19.000000;1.002545;1.001905;1.002545;1.002506;1.002452;1.002385;1.002304;1.002210;1.002105;1.001991;1.001872;1.001760;1.001683;1.001658;1.001678;1.001717;1.001752;1.001775;1.001785;1.001781;1.000226
49;1.633333;19;19.038480;19.000000;1.002730;1.002025;1.002730;1.002691;1.002636;1.002568;1.002485;1.002389;1.002281;1.002164;1.002039;1.001914;1.001810;1.001750;1.001742;1.001768;1.001799;1.001821;1.001831;1.001827;1.000236
