frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
98;0.816666;0.927591;1.000000;0.927591;0.927591;0.927591
99;0.825000;0.943568;1.000000;0.943568;0.943568;0.943568
100;0.833333;0.963464;1.000000;0.963464;0.963464;0.963464
101;0.841666;0.985810;1.000000;0.985810;0.985810;0.985810
102;0.850000;1.009017;1.000000;1.009017;1.009017;1.009017
103;0.858333;1.031492;1.000000;1.031492;1.031492;1.031492
104;0.866666;1.051746;1.000000;1.051746;1.051746;1.051746
105;0.875000;1.068489;1.000000;1.068489;1.068489;1.068489
106;0.883333;1.080711;1.000000;1.080711;1.080711;1.080711
107;0.891666;1.087742;1.000000;1.087742;1.087742;1.087742
108;0.900000;1.089284;1.000000;1.089284;1.089284;1.089284
109;0.908333;1.085419;1.000000;1.085419;1.085419;1.085419
110;0.916666;1.076590;1.000000;1.076590;1.076590;1.076590
111;0.925000;1.063559;1.000000;1.063559;1.063559;1.063559
112;0.933333;1.047348;1.000000;1.047348;1.047348;1.047348
113;0.941666;1.029156;1.000000;1.029156;1.029156;1.029156
114;0.950000;1.010276;1.000000;1.010276;1.010276;1.010276
115;0.958333;0.992004;1.000000;0.992004;0.992004;0.992004
116;0.966666;0.975549;1.000000;0.975549;0.975549;0.975549
117;0.974999;0.961959;1.000000;0.961959;0.961959;0.961959
118;0.983333;0.952050;1.000000;0.952050;0.952050;0.952050
119;0.991666;0.946366;1.000000;0.946366;0.946366;0.946366
120;0.999999;0.945145;1.000000;0.945145;0.945145;0.945145
121;1.008333;0.948320;1.000000;0.948320;0.948320;0.948320
122;1.016666;0.955527;1.000000;0.955527;0.955527;0.955527
123;1.024999;0.966147;1.000000;0.966147;0.966147;0.966147
124;1.033333;0.979349;1.000000;0.979349;0.979349;0.979349
125;1.041666;0.994156;1.000000;0.994156;0.994156;0.994156
126;1.049999;1.009517;1.000000;1.009517;1.009517;1.009517
127;1.058333;1.024378;1.000000;1.024378;1.024378;1.024378
128;1.066666;1.037754;1.000000;1.037754;1.037754;1.037754
129;1.074999;1.048795;1.000000;1.048795;1.048795;1.048795
130;1.083333;1.056836;1.000000;1.056836;1.056836;1.056836
131;1.091666;1.061436;1.000000;1.061436;1.061436;1.061436
132;1.099999;1.062401;1.000000;1.062401;1.062401;1.062401
133;1.108333;1.059790;1.000000;1.059790;1.059790;1.059790
134;1.116666;1.053900;1.000000;1.053900;1.053900;1.053900
135;1.124999;1.045238;1.000000;1.045238;1.045238;1.045238
136;1.133333;1.034482;1.000000;1.034482;1.034482;1.034482
137;1.141666;1.022427;1.000000;1.022427;1.022427;1.022427
138;1.149999;1.009930;1.000000;1.009930;1.009930;1.009930
139;1.158333;0.997849;1.000000;0.997849;0.997849;0.997849
140;1.166666;0.986982;1.000000;0.986982;0.986982;0.986982
141;1.174999;0.978021;1.000000;0.978021;0.978021;0.978021
142;1.183333;0.971504;1.000000;0.971504;0.971504;0.971504
143;1.191666;0.967788;1.000000;0.967788;0.967788;0.967788
144;1.199999;0.967027;1.000000;0.967027;0.967027;0.967027
145;1.208333;0.969175;1.000000;0.969175;0.969175;0.969175
146;1.216666;0.973986;1.000000;0.973986;0.973986;0.973986
147;1.224999;0.981048;1.000000;0.981048;0.981048;0.981048
148;1.233333;0.989809;1.000000;0.989809;0.989809;0.989809
149;1.241666;0.999622;1.000000;0.999622;0.999622;0.999622
150;1.249999;1.009788;1.000000;1.009788;1.009788;1.009788
151;1.258332;1.019613;1.000000;1.019613;1.019613;1.019613
152;1.266666;1.028444;1.000000;1.028444;1.028444;1.028444
153;1.274999;1.035722;1.000000;1.035722;1.035722;1.035722
154;1.283332;1.041007;1.000000;1.041007;1.041007;1.041007
155;1.291666;1.044011;1.000000;1.044011;1.044011;1.044011
156;1.299999;1.044609;1.000000;1.044609;1.044609;1.044609
157;1.308332;1.042842;1.000000;1.042842;1.042842;1.042842
158;1.316666;1.038909;1.000000;1.038909;1.038909;1.038909
159;1.324999;1.033148;1.000000;1.033148;1.033148;1.033148
160;1.333332;1.026010;1.000000;1.026010;1.026010;1.026010
161;1.341666;1.018021;1.000000;1.018021;1.018021;1.018021
162;1.349999;1.009750;1.000000;1.009750;1.009750;1.009750
163;1.358332;1.001763;1.000000;1.001763;1.001763;1.001763
164;1.366666;0.994588;1.000000;0.994588;0.994588;0.994588
165;1.374999;0.988681;1.000000;0.988681;0.988681;0.988681
166;1.383332;0.984398;1.000000;0.984398;0.984398;0.984398
167;1.391666;0.981972;1.000000;0.981972;0.981972;0.981972
168;1.399999;0.981503;1.000000;0.981503;0.981503;0.981503
169;1.408332;0.982958;1.000000;0.982958;0.982958;0.982958
170;1.416666;0.986172;1.000000;0.986172;0.986172;0.986172
171;1.424999;0.990870;1.000000;0.990870;0.990870;0.990870
172;1.433332;0.996685;1.000000;0.996685;0.996685;0.996685
173;1.441666;1.003188;1.000000;1.003188;1.003188;1.003188
174;1.449999;1.009917;1.000000;1.009917;1.009917;1.009917
175;1.458332;1.016411;1.000000;1.016411;1.016411;1.016411
176;1.466666;1.022242;1.000000;1.022242;1.022242;1.022242
177;1.474999;1.027037;1.000000;1.027037;1.027037;1.027037
178;1.483332;1.030509;1.000000;1.030509;1.030509;1.030509
179;1.491666;1.032470;1.000000;1.032470;1.032470;1.032470
180;1.499999;1.032836;1.000000;1.032836;1.032836;1.032836
181;1.508332;1.031639;1.000000;1.031639;1.031639;1.031639
182;1.516666;1.029011;1.000000;1.029011;1.029011;1.029011
183;1.524999;1.025179;1.000000;1.025179;1.025179;1.025179
184;1.533332;1.020441;1.000000;1.020441;1.020441;1.020441
