method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
VBD;16;24;1.959621;2.844349E-001;3;384
VBD;16;32;2.594691;2.845990E-001;3;512
VBD;24;1;0.197711;1.604069E-001;3;24
VBD;24;2;0.317730;2.146578E-001;3;48
VBD;24;4;0.556845;2.199249E-001;3;96
VBD;24;8;1.034946;2.192290E-001;3;192
VBD;24;12;1.512035;2.204781E-001;3;288
VBD;24;16;2.005997;2.190556E-001;3;384
VBD;24;24;2.944276;2.204781E-001;3;576
VBD;24;32;3.902800;2.192290E-001;3;768
VBD;32;1;0.263966;1.845748E-001;3;32
VBD;32;2;0.424355;2.030405E-001;3;64
VBD;32;4;0.742139;2.036184E-001;3;128
VBD;32;8;1.382536;2.036324E-001;3;256
VBD;32;12;2.018789;2.036133E-001;3;384
VBD;32;16;2.657641;2.036184E-001;3;512
VBD;32;24;3.929028;2.036133E-001;3;768
VBD;32;32;5.237847;2.036324E-001;3;1024
