method;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;1;1;0.003973;1.383685E+000;3
XPBD;1;2;0.005588;1.089355E+000;3
XPBD;1;4;0.008346;9.996439E-001;3
XPBD;1;8;0.015183;9.870313E-001;3
XPBD;1;12;0.022120;9.881138E-001;3
XPBD;1;16;0.028713;9.895186E-001;3
XPBD;2;1;0.007111;6.633745E-001;3
XPBD;2;2;0.010791;6.274451E-001;3
XPBD;2;4;0.017357;6.245642E-001;3
XPBD;2;8;0.030781;6.284519E-001;3
XPBD;2;12;0.043874;6.305013E-001;3
XPBD;2;16;0.057045;6.316035E-001;3
XPBD;4;1;0.014274;3.767158E-001;3
XPBD;4;2;0.021511;3.752559E-001;3
XPBD;4;4;0.034716;3.777338E-001;3
XPBD;4;8;0.061328;3.799722E-001;3
XPBD;4;12;0.087399;3.808900E-001;3
XPBD;4;16;0.114206;3.812982E-001;3
XPBD;8;1;0.029546;2.007790E-001;3
XPBD;8;2;0.041642;2.020069E-001;3
XPBD;8;4;0.068886;2.034958E-001;3
XPBD;8;8;0.121575;2.046451E-001;3
XPBD;8;12;0.174818;2.044387E-001;3
XPBD;8;16;0.228582;2.047664E-001;3
XPBD;12;1;0.043790;1.266971E-001;3
XPBD;12;2;0.063447;1.281917E-001;3
XPBD;12;4;0.103343;1.286514E-001;3
XPBD;12;8;0.182471;1.291734E-001;3
XPBD;12;12;0.261589;1.293396E-001;3
XPBD;12;16;0.340682;1.304077E-001;3
XPBD;16;1;0.058050;8.539832E-002;3
XPBD;16;2;0.084314;8.609280E-002;3
XPBD;16;4;0.137501;8.697473E-002;3
XPBD;16;8;0.245421;8.886636E-002;3
XPBD;16;12;0.350930;9.185843E-002;3
XPBD;16;16;0.455032;9.676436E-002;3
VBD;1;1;0.006733;3.811695E+000;3
VBD;1;2;0.010088;3.252590E+000;3
VBD;1;4;0.016400;2.470492E+000;3
VBD;1;8;0.029971;2.076313E+000;3
VBD;1;12;0.042489;2.022580E+000;3
VBD;1;16;0.056158;1.999254E+000;3
VBD;2;1;0.013106;2.652442E+000;3
VBD;2;2;0.020038;2.153371E+000;3
VBD;2;4;0.032958;2.006146E+000;3
VBD;2;8;0.059359;1.935566E+000;3
VBD;2;12;0.086048;1.883576E+000;3
VBD;2;16;0.112803;1.820397E+000;3
VBD;4;1;0.026592;2.073728E+000;3
VBD;4;2;0.039619;1.952797E+000;3
VBD;4;4;0.066116;1.849260E+000;3
VBD;4;8;0.119187;1.667072E+000;3
VBD;4;12;0.173279;1.594352E+000;3
VBD;4;16;0.226344;1.544811E+000;3
VBD;8;1;0.052857;1.909195E+000;3
VBD;8;2;0.079005;1.752432E+000;3
VBD;8;4;0.131930;1.630158E+000;3
VBD;8;8;0.239541;1.193050E+000;3
VBD;8;12;0.345998;9.128220E-001;3
VBD;8;16;0.452624;6.905330E-001;3
VBD;12;1;0.078937;1.721323E+000;3
VBD;12;2;0.118445;1.645264E+000;3
VBD;12;4;0.199063;1.181401E+000;3
VBD;12;8;0.358788;6.587665E-001;3
VBD;12;12;0.516743;3.632369E-001;3
VBD;12;16;0.676379;2.252723E-001;3
VBD;16;1;0.105452;1.615187E+000;3
VBD;16;2;0.157897;1.311398E+000;3
VBD;16;4;0.263403;8.220320E-001;3
VBD;16;8;0.474521;2.946255E-001;3
VBD;16;12;0.690261;1.375888E-001;3
VBD;16;16;0.897313;1.066722E-001;3
