method;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;1;1;0.004069;1.179414E+000;3
XPBD;1;2;0.005621;8.407577E-001;3
XPBD;1;4;0.009090;7.218858E-001;3
XPBD;1;8;0.015656;6.989821E-001;3
XPBD;1;12;0.022358;6.980848E-001;3
XPBD;1;16;0.028860;6.988041E-001;3
XPBD;2;1;0.007782;4.113588E-001;3
XPBD;2;2;0.011104;3.383860E-001;3
XPBD;2;4;0.017685;3.231454E-001;3
XPBD;2;8;0.030788;3.236217E-001;3
XPBD;2;12;0.044293;3.250117E-001;3
XPBD;2;16;0.057472;3.258714E-001;3
XPBD;4;1;0.015233;9.540577E-002;3
XPBD;4;2;0.021524;7.011337E-002;3
XPBD;4;4;0.035239;6.484313E-002;3
XPBD;4;8;0.061296;6.513640E-002;3
XPBD;4;12;0.087967;6.572941E-002;3
XPBD;4;16;0.114258;6.603736E-002;3
XPBD;8;1;0.029934;1.210585E-001;3
XPBD;8;2;0.042738;1.179557E-001;3
XPBD;8;4;0.069781;1.160363E-001;3
XPBD;8;8;0.121983;1.148167E-001;3
XPBD;8;12;0.175393;1.151609E-001;3
XPBD;8;16;0.229799;1.148523E-001;3
XPBD;12;1;0.044694;1.934527E-001;3
XPBD;12;2;0.064132;1.916290E-001;3
XPBD;12;4;0.103955;1.910614E-001;3
XPBD;12;8;0.184117;1.906634E-001;3
XPBD;12;12;0.264198;1.909065E-001;3
XPBD;12;16;0.344114;1.905786E-001;3
XPBD;16;1;0.059458;2.342917E-001;3
XPBD;16;2;0.084678;2.335498E-001;3
XPBD;16;4;0.138623;2.327152E-001;3
XPBD;16;8;0.243756;2.321737E-001;3
XPBD;16;12;0.350459;2.311606E-001;3
XPBD;16;16;0.457397;2.286961E-001;3
VBD;1;1;0.006945;3.686898E+000;3
VBD;1;2;0.009889;3.150802E+000;3
VBD;1;4;0.016643;2.395126E+000;3
VBD;1;8;0.030157;2.010249E+000;3
VBD;1;12;0.043746;1.957283E+000;3
VBD;1;16;0.056495;1.933069E+000;3
VBD;2;1;0.013468;2.591378E+000;3
VBD;2;2;0.020010;2.116356E+000;3
VBD;2;4;0.033918;1.974563E+000;3
VBD;2;8;0.060272;1.901563E+000;3
VBD;2;12;0.086657;1.847006E+000;3
VBD;2;16;0.114310;1.779554E+000;3
VBD;4;1;0.027092;2.056831E+000;3
VBD;4;2;0.039439;1.938384E+000;3
VBD;4;4;0.066588;1.825084E+000;3
VBD;4;8;0.120112;1.623736E+000;3
VBD;4;12;0.174021;1.573801E+000;3
VBD;4;16;0.228314;1.507903E+000;3
VBD;8;1;0.052773;1.899297E+000;3
VBD;8;2;0.079615;1.727498E+000;3
VBD;8;4;0.134331;1.636476E+000;3
VBD;8;8;0.241572;1.097707E+000;3
VBD;8;12;0.345830;7.852148E-001;3
VBD;8;16;0.458778;5.550954E-001;3
VBD;12;1;0.079358;1.691544E+000;3
VBD;12;2;0.119403;1.657527E+000;3
VBD;12;4;0.201531;1.093031E+000;3
VBD;12;8;0.359913;5.500765E-001;3
VBD;12;12;0.521048;3.043621E-001;3
VBD;12;16;0.681110;2.198349E-001;3
VBD;16;1;0.105566;1.625647E+000;3
VBD;16;2;0.160642;1.246680E+000;3
VBD;16;4;0.267375;7.156642E-001;3
VBD;16;8;0.482723;2.997369E-001;3
VBD;16;12;0.693551;2.344414E-001;3
VBD;16;16;0.912386;2.236831E-001;3
