method;substeps;iterations;medianMsPerStep;rmsError;repeats
VBD;24;16;1.993493;4.590134E-002;3
VBD;24;24;2.957540;4.590128E-002;3
VBD;24;32;3.907054;4.590127E-002;3
VBD;32;1;0.264885;2.778716E-002;3
VBD;32;2;0.423593;2.262106E-002;3
VBD;32;4;0.742289;2.328203E-002;3
VBD;32;8;1.381207;2.327437E-002;3
VBD;32;12;2.019998;2.328589E-002;3
VBD;32;16;2.661958;2.328203E-002;3
VBD;32;24;3.949138;2.328589E-002;3
VBD;32;32;5.210928;2.327437E-002;3
