frame;time;maxForce;avgForce;maxAccel
1;0.033333;3.00026;1.53308;1347.23
2;0.066667;4.53128;3.25546;3233.05
3;0.100000;8.52475;4.59089;7667.26
4;0.133333;9.4657;5.17394;8503.77
5;0.166667;8.39637;4.87796;7526.81
6;0.200000;6.38537;3.81842;5716.51
7;0.233333;3.83646;2.29676;3422.03
8;0.266667;1.09605;0.648248;960.316
9;0.300000;1.4237;0.837072;1281.33
10;0.333333;3.06855;1.80982;2751.39
11;0.366667;3.22855;1.90735;2888.23
12;0.400000;1.61654;0.951596;1428.96
13;0.433333;1.52424;0.887235;1371.81
14;0.466667;5.13301;3.01766;4619.7
15;0.500000;7.74695;4.56713;6963.11
16;0.533333;8.7137;5.13717;7810.63
17;0.566667;8.12854;4.79374;7272.38
18;0.600000;6.33659;3.73321;5649.76
19;0.633333;3.80872;2.24237;3381.99
20;0.666667;1.08042;0.630614;927.955
21;0.700000;1.40949;0.823937;1267.96
22;0.733334;3.01173;1.77698;2705.39
23;0.766667;3.16407;1.87038;2823.44
24;0.800000;1.58139;0.929256;1384.15
25;0.833334;1.50878;0.876533;1357.9
26;0.866667;5.05118;2.96566;4534.52
27;0.900000;7.60965;4.48215;6833.3
28;0.933334;8.54508;5.03866;7661.61
29;0.966667;7.97629;4.69928;7123.64
30;1.000000;6.21308;3.65756;5527.19
31;1.033334;3.73574;2.19457;3304.4
32;1.066667;1.05179;0.613748;901.603
33;1.100000;1.39459;0.811828;1255.13
34;1.133334;2.95488;1.74461;2653.59
35;1.166667;3.09974;1.83342;2765.36
36;1.200000;1.54554;0.907457;1345.52
37;1.233333;1.50154;0.865758;1351.38
38;1.266667;4.96447;2.91449;4463.21
39;1.300000;7.47075;4.3991;6703.77
40;1.333333;8.37967;4.94203;7506.22
41;1.366667;7.81755;4.60689;6974.75
42;1.400000;6.08295;3.58336;5410.48
43;1.433333;3.65667;2.14784;3227.01
44;1.466667;1.03681;0.597472;869.748
45;1.500000;1.37992;0.799872;1241.93
46;1.533333;2.90469;1.71284;2608.22
47;1.566666;3.04203;1.79718;2707.37
48;1.600000;1.51687;0.886056;1313.67
49;1.633333;1.4795;0.854912;1331.55
50;1.666666;4.87811;2.86415;4385.27
51;1.700000;7.32884;4.31742;6580.7
52;1.733333;8.22122;4.84717;7357.77
53;1.766666;7.65922;4.51599;6832.95
54;1.800000;5.96649;3.51064;5293.94
55;1.833333;3.59201;2.10181;3149.86
56;1.866666;1.01585;0.581624;843.531
57;1.899999;1.35854;0.788228;1222.68
58;1.933333;2.85375;1.68187;2557.17
59;1.966666;2.98438;1.76166;2655.86
60;1.999999;1.48862;0.86516;1275.15
61;2.033333;1.4648;0.844269;1318.32
62;2.066666;4.79868;2.81488;4313.89
63;2.099999;7.19204;4.23747;6457.45
64;2.133333;8.06169;4.75425;7215.13
65;2.166666;7.52078;4.42719;6690.78
66;2.199999;5.85899;3.43956;5178.3
67;2.233333;3.52039;2.05699;3078.27
68;2.266666;0.994429;0.565931;817.685
69;2.299999;1.33856;0.776757;1203.36
70;2.333333;2.79684;1.65125;2511.25
71;2.366666;2.92719;1.7268;2598.02
72;2.399999;1.45326;0.844586;1243.18
73;2.433332;1.45031;0.833945;1305.27
74;2.466666;4.71693;2.76652;4242.89
75;2.499999;7.055;4.15906;6335.33
76;2.533332;7.90926;4.66323;7073.14
77;2.566666;7.37738;4.34011;6554.65
78;2.599999;5.75144;3.36969;5067.97
79;2.633332;3.44864;2.01295;3007.12
80;2.666666;0.972885;0.550548;791.701
81;2.699999;1.32289;0.765554;1190.6
82;2.733332;2.74647;1.6213;2466.29
83;2.766665;2.86995;1.69276;2546.24
84;2.799999;1.42469;0.824549;1210.69
85;2.833332;1.43587;0.823599;1292.28
86;2.866665;4.6351;2.71899;4171.58
87;2.899999;6.92192;4.0821;6212.21
88;2.933332;7.76577;4.57402;6930.7
89;2.966665;7.24104;4.25462;6418.62
90;2.999999;5.64359;3.30132;4957.81
91;3.033332;3.38388;1.96985;2935.83
92;3.066665;0.943982;0.53579;772.272
93;3.099998;1.30122;0.754472;1171.1
94;3.133332;2.696;1.59203;2415.14
95;3.166665;2.81983;1.65924;2488.09
96;3.199998;1.38899;0.804895;1178.59
97;3.233332;1.42119;0.813464;1279.07
98;3.266665;4.5506;2.67228;4093.7
99;3.299998;6.7923;4.00654;6089.1
100;3.333332;7.622;4.48633;6788.24
101;3.366665;7.10439;4.1708;6282.64
102;3.399998;5.52856;3.23422;4847.78
103;3.433331;3.31191;1.92752;2871.17
104;3.466665;0.915116;0.521022;746.534
105;3.499998;1.2862;0.743411;1157.58
106;3.533331;2.64566;1.56322;2369.76
107;3.566665;2.76245;1.62631;2436.29
108;3.599998;1.36038;0.785463;1152.62
109;3.633331;1.3991;0.803487;1259.19
110;3.666665;4.46545;2.62656;4015.57
111;3.699998;6.67651;3.93245;5965.76
112;3.733331;7.48544;4.40044;6646.16
113;3.766665;6.97486;4.08865;6153.24
114;3.799998;5.42062;3.16841;4744.66
115;3.833331;3.24009;1.88613;2806.96
116;3.866664;0.89365;0.506787;721.256
117;3.899998;1.26507;0.732795;1138.56
118;3.933331;2.59533;1.53482;2324.41
119;3.966664;2.71235;1.59417;2384.71
120;3.999998;1.3248;0.766821;1127.32
121;4.033331;1.37703;0.793642;1239.32
122;4.066664;4.3856;2.58146;3937.58
123;4.099998;6.55445;3.85989;5849.22
124;4.133331;7.34891;4.31621;6516.49
125;4.166664;6.83845;4.00817;6024.55
126;4.199997;5.31289;3.10412;4647.82
127;4.233331;3.17527;1.84574;2748.59
128;4.266664;0.864699;0.492855;708.08
129;4.299997;1.2432;0.722231;1118.88
130;4.333331;2.55225;1.50707;2278.91
131;4.366664;2.66214;1.5626;2339.35
132;4.399997;1.29616;0.748487;1101.44
133;4.433331;1.35505;0.783979;1219.54
134;4.466664;4.3055;2.53748;3866
135;4.499997;6.43947;3.78857;5738.88
136;4.533330;7.21253;4.23364;6387.17
137;4.566664;6.7091;3.92918;5907.75
138;4.599997;5.20501;3.04085;4557.05
139;4.633330;3.10324;1.80581;2690.52
140;4.666664;0.842998;0.479127;688.92
141;4.699997;1.22151;0.711822;1099.35
142;4.733330;2.50923;1.47978;2233.74
143;4.766664;2.6119;1.53176;2294.36
144;4.799997;1.26042;0.730356;1075.79
145;4.833330;1.33597;0.774465;1199.77
146;4.866663;4.22585;2.49426;3794.53
147;4.899997;6.32431;3.71858;5629.07
148;4.933330;7.08312;4.15251;6264.65
149;4.966663;6.57969;3.85193;5791.77
150;4.999997;5.0971;2.97893;4460.55
151;5.033330;3.03843;1.76687;2632.77
152;5.066663;0.814068;0.465773;669.835
153;5.099997;1.20002;0.701637;1080.01
154;5.133330;2.46612;1.45315;2194.78
155;5.166663;2.56156;1.50136;2249.27
156;5.199996;1.23163;0.712609;1050.27
157;5.233330;1.31425;0.765126;1180.12
158;5.266663;4.15956;2.45168;3729.76
159;5.299996;6.20908;3.65007;5519.28
160;5.333330;6.94629;4.07304;6141.98
161;5.366663;6.44993;3.77585;5675.64
162;5.399996;4.99604;2.91821;4370.31
163;5.433330;2.96627;1.72866;2581.16
164;5.466663;0.785149;0.452507;656.929
165;5.499996;1.17836;0.691716;1060.46
166;5.533329;2.42305;1.42701;2149.64
167;5.566663;2.50409;1.47165;2204.17
168;5.599996;1.19577;0.695282;1024.76
169;5.633329;1.29633;0.756042;1166.7
170;5.666663;4.08755;2.4101;3658.28
171;5.699996;6.10103;3.58292;5415.65
172;5.733329;6.80947;3.99502;6025.57
173;5.766663;6.32016;3.70128;5565.76
174;5.799996;4.88786;2.85856;4286.32
175;5.833329;2.90125;1.69113;2523.21
176;5.866663;0.763378;0.43957;637.729
177;5.899996;1.16358;0.682052;1040.99
178;5.933329;2.37991;1.40122;2117.21
179;5.966662;2.45386;1.44242;2158.93
180;5.999996;1.15995;0.678237;999.167
181;6.033329;1.27722;0.746843;1147.11
182;6.066662;4.02256;2.36913;3593.44
183;6.099996;5.98579;3.51678;5318.68
184;6.133329;6.67989;3.91847;5909.41
185;6.166662;6.19054;3.62813;5456.16
186;6.199996;4.78698;2.80012;4202.45
187;6.233329;2.82912;1.65462;2471.65
188;6.266662;0.741621;0.427075;624.873
189;6.299995;1.14219;0.672213;1027.97
190;6.333329;2.33676;1.37608;2072.13
191;6.366662;2.41069;1.41386;2120.38
192;6.399995;1.13123;0.661674;980.049
193;6.433329;1.2599;0.73787;1133.91
194;6.466662;3.95768;2.32899;3528.67
195;6.499995;5.87762;3.45207;5221.83
196;6.533329;6.55014;3.84375;5799.83
197;6.566662;6.06797;3.55664;5352.94
198;6.599995;4.68601;2.7429;4118.67
199;6.633328;2.76418;1.61866;2420.17
200;6.666662;0.712803;0.414834;605.695
201;6.699995;1.12743;0.662702;1008.48
202;6.733328;2.2937;1.35127;2033.38
203;6.766662;2.36035;1.3858;2081.74
204;6.799995;1.10258;0.645356;954.708
205;6.833328;1.24496;0.729164;1120.46
206;6.866662;3.89256;2.28956;3470.52
207;6.899995;5.76955;3.38858;5124.97
208;6.933328;6.42054;3.76991;5690.27
209;6.966661;5.93831;3.4864;5249.91
210;6.999995;4.58508;2.68677;4034.91
211;7.033328;2.70643;1.58338;2374.81
212;7.066661;0.691257;0.402518;592.86
213;7.099995;1.10853;0.653278;995.617
214;7.133328;2.25042;1.3269;2001.22
215;7.166661;2.30999;1.35832;2043.12
216;7.199995;1.07407;0.629475;935.237
217;7.233328;1.23061;0.720406;1107.55
218;7.266661;3.82751;2.25077;3412.19
219;7.299994;5.66119;3.32608;5034.52
220;7.333328;6.29777;3.6978;5586.83
221;7.366661;5.82284;3.41744;5152.89
222;7.399994;4.48417;2.63183;3957.35
223;7.433328;2.64166;1.54882;2323.18
224;7.466661;0.669545;0.390921;573.427
225;7.499994;1.09233;0.644177;982.763
226;7.533328;2.20724;1.30312;1962.6
227;7.566661;2.25976;1.33141;2004.52
228;7.599994;1.04545;0.613989;916.092
229;7.633327;1.21198;0.711654;1088.14
230;7.666661;3.75514;2.21256;3360.25
231;7.699994;5.55299;3.2648;4943.96
232;7.733327;6.16833;3.62705;5483.44
233;7.766661;5.70046;3.35002;5056.05
234;7.799994;4.3906;2.57795;3879.9
235;7.833327;2.58407;1.51499;2271.51
236;7.866661;0.655258;0.379535;560.804
237;7.899994;1.07816;0.635097;970.02
238;7.933327;2.17132;1.27962;1930.49
239;7.966660;2.21669;1.30501;1966.01
240;7.999994;1.02404;0.598824;890.547
241;8.033327;1.19744;0.70311;1074.91
242;8.066661;3.69012;2.17497;3302.03
243;8.099995;5.44498;3.20472;4853.37
244;8.133328;6.05309;3.55742;5379.97
245;8.166662;5.58519;3.28365;4959.07
246;8.199996;4.3039;2.52492;3803.08
247;8.233330;2.52638;1.48185;2226.38
248;8.266664;0.633484;0.368203;541.394
249;8.299997;1.06334;0.626158;957.004
250;8.333331;2.12809;1.25661;1898.1
251;8.366665;2.16642;1.2791;1927.11
252;8.399999;0.995533;0.58374;870.915
253;8.433332;1.18737;0.694686;1068.63
254;8.466666;3.62501;2.13803;3250.51
255;8.500000;5.34389;3.14568;4769.68
256;8.533334;5.93056;3.48918;5276.85
257;8.566668;5.47005;3.2186;4862.36
258;8.600001;4.21047;2.47312;3725.01
259;8.633335;2.46889;1.44937;2174.75
260;8.666669;0.612019;0.35734;522.005
261;8.700003;1.04908;0.617212;944.17
262;8.733336;2.09207;1.23398;1865.92
263;8.766670;2.1234;1.25365;1888.54
264;8.800004;0.974116;0.569197;845.374
265;8.833338;1.17269;0.686468;1055.42
266;8.866672;3.56218;2.10191;3198.61
267;8.900005;5.24287;3.08764;4685.58
268;8.933339;5.8152;3.42231;5179.92
269;8.966673;5.36197;3.15488;4765.43
270;9.000007;4.12404;2.42224;3647.98
271;9.033340;2.41828;1.41763;2129.39
272;9.066674;0.597657;0.346571;509.176
273;9.100008;1.03477;0.60848;931.292
274;9.133342;2.05607;1.21181;1833.67
275;9.166676;2.0803;1.22868;1849.83
276;9.200009;0.945827;0.555045;826.105
277;9.233343;1.15827;0.678136;1042.44
278;9.266677;3.50434;2.06633;3146.83
279;9.300011;5.1419;3.0308;4601.71
280;9.333344;5.70056;3.35667;5083.28
281;9.366678;5.25445;3.09248;4675.26
282;9.400012;4.03776;2.37247;3576.63
283;9.433346;2.36082;1.38638;2077.96
284;9.466680;0.583169;0.336138;489.535
285;9.500013;1.02023;0.600004;918.208
286;9.533347;2.01293;1.19001;1801.3
287;9.566681;2.04422;1.20424;1817.49
288;9.600015;0.924254;0.541095;800.442
289;9.633348;1.15116;0.669932;1036.04
290;9.666682;3.44607;2.0314;3095.21
291;9.700016;5.04827;2.97498;4517.72
292;9.733350;5.59199;3.29236;4986.28
293;9.766684;5.15322;3.03117;4578.14
294;9.800017;3.95856;2.32381;3499.38
295;9.833351;2.31054;1.35605;2032.66
296;9.866685;0.561617;0.325971;476.451
297;9.900019;1.00583;0.591528;905.242
298;9.933352;1.97687;1.16868;1769.01
299;9.966686;2.00122;1.18025;1778.96
300;10.000020;0.902901;0.527508;781.123
301;10.033350;1.13619;0.661757;1022.57
302;10.066690;3.38821;1.99699;3043.26
303;10.100020;4.95458;2.92007;4433.58
304;10.133360;5.48407;3.22914;4889.44
305;10.166690;5.05257;2.9711;4487.88
306;10.200020;3.87949;2.27594;3428.39
307;10.233360;2.26028;1.32631;1981.37
308;10.266690;0.547315;0.316052;457.296
309;10.300020;0.998595;0.582979;898.734
310;10.333360;1.94094;1.14764;1736.76
311;10.366690;1.95824;1.15693;1740.29
312;10.400030;0.881516;0.514219;761.811
313;10.433360;1.12192;0.65392;1009.73
314;10.466690;3.3305;1.96322;2991.58
315;10.500030;4.86105;2.86642;4356.08
316;10.533360;5.37642;3.16722;4792.56
317;10.566690;4.95178;2.91223;4397.43
318;10.600030;3.80031;2.22917;3356.94
319;10.633360;2.21701;1.297;1935.91
320;10.666700;0.532903;0.306331;444.255
321;10.700030;0.984514;0.574802;886.061
322;10.733360;1.91197;1.12708;1710.67
323;10.766700;1.92246;1.13375;1708
324;10.800030;0.860265;0.50123;742.538
325;10.833360;1.10749;0.645951;996.74
326;10.866700;3.27346;1.92992;2946.11
327;10.900030;4.77438;2.81368;4271.98
328;10.933370;5.27545;3.10672;4702.06
329;10.966700;4.8583;2.85474;4307.15
330;11.000030;3.72124;2.18331;3285.95
331;11.033370;2.16668;1.26856;1897.23
332;11.066700;0.518552;0.296889;431.422
333;11.100030;0.970126;0.566611;873.112
334;11.133370;1.87623;1.10681;1678.75
335;11.166700;1.87934;1.11126;1675.85
336;11.200040;0.838809;0.488583;723.356
337;11.233370;1.09455;0.638023;983.61
338;11.266700;3.22217;1.89749;2894.36
339;11.300040;4.68791;2.76199;4194.57
340;11.333370;5.17502;3.04703;4605.29
341;11.366700;4.76459;2.7982;4223.07
342;11.400040;3.64922;2.13861;3215
343;11.433370;2.12344;1.24067;1851.85
344;11.466710;0.504128;0.287879;411.879
345;11.500040;0.955743;0.558671;860.167
346;11.533370;1.84029;1.08701;1646.52
347;11.566710;1.85061;1.08908;1637.17
348;11.600040;0.817428;0.476128;704.104
349;11.633380;1.08552;0.630406;976.961
350;11.666710;3.16435;1.86534;2842.49
351;11.700040;4.60181;2.71109;4116.71
352;11.733380;5.08115;2.98869;4521.03
353;11.766710;4.67114;2.7426;4138.86
354;11.800040;3.57018;2.09434;3150.13
355;11.833380;2.07322;1.21317;1806.86
356;11.866710;0.489761;0.278764;399.069
357;11.900050;0.941358;0.55084;847.221
358;11.933380;1.81157;1.06747;1614.12
