frame;time;maxForce;avgForce;maxAccel
1;0.033333;0.0567487;0.0362554;23.3442
2;0.066667;0.115882;0.0708934;91.3139
3;0.100000;0.155585;0.0850988;119.753
4;0.133333;0.147837;0.0836498;110.467
5;0.166667;0.126011;0.0701847;88.2862
6;0.200000;0.0805462;0.0440654;53.8629
7;0.233333;0.0264667;0.0140005;16.576
8;0.266667;0.022261;0.012524;16.8192
9;0.300000;0.0465247;0.0258285;32.7383
10;0.333333;0.036446;0.0203304;24.4808
11;0.366667;0.00583957;0.00248643;2.97149
12;0.400000;0.0463256;0.0259189;35.981
13;0.433333;0.0753987;0.042797;57.0769
14;0.466667;0.081189;0.0459777;60.1614
15;0.500000;0.0765475;0.0429493;54.7751
16;0.533333;0.0559988;0.0310893;38.9782
17;0.566667;0.0272237;0.0150159;18.9014
18;0.600000;0.00245854;0.000980513;1.68323
19;0.633333;0.0227633;0.0126887;16.5203
20;0.666667;0.0258186;0.0144439;18.1701
21;0.700000;0.0113275;0.00646929;7.60167
22;0.733334;0.0146104;0.00779784;11.5848
23;0.766667;0.0362169;0.0203524;27.9515
24;0.800000;0.0440086;0.0250404;32.9872
25;0.833334;0.0452557;0.0254946;32.7559
26;0.866667;0.0377591;0.0210157;26.4593
27;0.900000;0.0234225;0.0128963;16.1746
28;0.933334;0.00692344;0.00374873;4.88456
29;0.966667;0.00771788;0.00425269;5.84184
30;1.000000;0.0142901;0.00796771;10.2903
31;1.033334;0.0105083;0.0059479;7.28275
32;1.066667;0.00189715;0.00103409;1.70743
33;1.100000;0.0153162;0.00835525;11.8683
34;1.133334;0.0233055;0.0132446;17.8203
35;1.166667;0.0249838;0.0141351;18.6006
36;1.200000;0.0233226;0.0130238;16.7337
37;1.233333;0.0167569;0.00927801;11.6209
38;1.266667;0.00788303;0.00432183;5.49382
39;1.300000;0.00127027;0.000537673;0.920697
40;1.333333;0.00714224;0.00396779;5.21733
41;1.366667;0.00773709;0.00431308;5.42601
42;1.400000;0.003042;0.00173733;2.02449
43;1.433333;0.00503177;0.00265754;3.95007
44;1.466667;0.0113869;0.00638664;8.80007
45;1.500000;0.0133936;0.00760773;10.034
46;1.533333;0.013745;0.00768716;9.87657
47;1.566666;0.0111791;0.00622413;7.8283
48;1.600000;0.00673677;0.00371176;4.61677
49;1.633333;0.00178113;0.000950761;1.26289
50;1.666666;0.00263837;0.00143859;2.01995
51;1.700000;0.00437762;0.00244487;3.12487
52;1.733333;0.00304863;0.0017151;2.1408
53;1.766666;0.000931098;0.00044989;0.669012
54;1.800000;0.00491085;0.00268832;3.77511
55;1.833333;0.00716153;0.00407704;5.52829
56;1.866666;0.00771591;0.00431837;5.65683
57;1.899999;0.00707353;0.00391652;4.97999
58;1.933333;0.00498805;0.00274085;3.46901
59;1.966666;0.00228181;0.00122083;1.50656
60;1.999999;0.00053379;0.000253151;0.333944
61;2.033333;0.00225481;0.0012369;1.5398
62;2.066666;0.00228914;0.00127639;1.63053
63;2.099999;0.000829869;0.000452164;0.515568
64;2.133333;0.00167657;0.000904643;1.36184
65;2.166666;0.00355247;0.00199717;2.84522
66;2.199999;0.00412663;0.00229511;2.99133
67;2.233333;0.00415633;0.00229905;2.93916
68;2.266666;0.00329364;0.00182293;2.25844
69;2.299999;0.00197494;0.00105146;1.30427
70;2.333333;0.000497268;0.000229355;0.299751
71;2.366666;0.000952992;0.000492316;0.628806
72;2.399999;0.00139876;0.000747382;0.909724
73;2.433332;0.00094805;0.000489977;0.651204
74;2.466666;0.000451706;0.000195678;0.293551
75;2.499999;0.0016159;0.00086478;1.22495
76;2.533332;0.00227427;0.00124838;1.62622
77;2.566666;0.00238473;0.00131259;1.73086
78;2.599999;0.00211167;0.00116861;1.52024
79;2.633332;0.00145985;0.000800424;0.998837
80;2.666666;0.000719439;0.000343916;0.44505
81;2.699999;0.00028834;0.000118362;0.149621
82;2.733332;0.000763625;0.000388807;0.502809
83;2.766665;0.000749514;0.00037878;0.553423
84;2.799999;0.00032207;0.000123055;0.119552
85;2.833332;0.000659417;0.000311873;0.448537
86;2.866665;0.00116056;0.000624476;0.845976
87;2.899999;0.00131162;0.000691941;0.950651
88;2.933332;0.00127627;0.000686608;0.81099
89;2.966665;0.0010286;0.000533179;0.744914
90;2.999999;0.000579153;0.000299846;0.331379
91;3.033332;0.00022552;6.95268E-05;0.139379
92;3.066665;0.000390049;0.000174098;0.163547
93;3.099998;0.000514846;0.000236834;0.298027
94;3.133332;0.000363447;0.000149626;0.227931
95;3.166665;0.000264783;9.03176E-05;0.155502
96;3.199998;0.00056793;0.000281897;0.389436
97;3.233332;0.000776599;0.000386348;0.510422
98;3.266665;0.000802827;0.000403055;0.482682
99;3.299998;0.000711761;0.000353904;0.379404
100;3.333332;0.000524434;0.000241647;0.308484
