frame;time;maxForce;avgForce;maxAccel
147;4.899997;1.51112;0.397437;680
148;4.933330;1.69111;0.483228;1096.04
149;4.966663;2.98557;0.578127;1654.31
150;4.999997;3.82558;0.641558;1913.93
151;5.033330;3.48572;0.652083;1945.22
152;5.066663;2.46011;0.606623;1508.79
153;5.099997;2.39315;0.541669;1392.06
154;5.133330;1.90072;0.464369;1621.24
155;5.166663;2.03309;0.403604;1798.54
156;5.199996;2.00121;0.380044;1772.94
157;5.233330;1.63607;0.366703;1453.54
158;5.266663;1.10711;0.340174;974.538
159;5.299996;0.83962;0.333305;628.208
160;5.333330;0.892906;0.337588;401.807
161;5.366663;1.0303;0.338501;463.636
162;5.399996;1.36988;0.33466;616.442
163;5.433330;1.72803;0.327395;777.61
164;5.466663;1.84593;0.347967;830.666
165;5.499996;1.63576;0.389139;736.091
166;5.533329;2.51431;0.432843;1131.44
167;5.566663;3.81812;0.479786;1718.15
168;5.599996;5.41964;0.542949;4565.11
169;5.633329;7.70179;0.620432;6931.6
170;5.666663;6.96847;0.643453;6271.61
171;5.699996;5.40616;0.590968;4865.53
172;5.733329;4.2538;0.491316;3828.41
173;5.766663;3.55703;0.424507;3201.32
174;5.799996;2.95919;0.443758;2663.27
175;5.833329;3.82188;0.543461;2750.13
176;5.866663;2.91829;0.478993;2315.04
177;5.899996;3.32514;0.517586;1833.18
178;5.933329;3.27082;0.491599;1653.74
179;5.966662;4.46657;0.572451;2009.95
180;5.999996;4.28074;0.590478;2261.03
181;6.033329;3.36822;0.587758;3031.4
182;6.066662;3.76289;0.571184;3386.59
183;6.099996;2.99159;0.537425;2692.42
184;6.133329;2.32299;0.48551;1685.59
185;6.166662;2.80239;0.446711;1261.07
186;6.199996;4.28521;0.42315;1928.34
187;6.233329;3.74937;0.413941;1687.21
188;6.266662;2.54858;0.41313;1146.86
189;6.299995;3.16093;0.410791;711.208
190;6.333329;2.60073;0.395931;1145.04
191;6.366662;2.14357;0.399179;1307.99
192;6.399995;1.48511;0.370511;1076.77
193;6.433329;1.99716;0.360968;1121.9
194;6.466662;2.57345;0.401107;2179.47
195;6.499995;3.36828;0.479472;3031.45
196;6.533329;5.21455;0.543174;4693.09
197;6.566662;5.24844;0.614787;4723.59
198;6.599995;4.44652;0.663032;3607.61
199;6.633328;4.28883;0.665261;3100.22
200;6.666662;3.65673;0.602774;3291.05
201;6.699995;2.83224;0.515627;2549.01
202;6.733328;1.87914;0.415216;1073.09
203;6.766662;1.80944;0.351821;671.892
204;6.799995;1.57322;0.375968;551.606
205;6.833328;1.7533;0.374682;788.983
206;6.866662;1.80639;0.374182;812.872
207;6.899995;1.53661;0.370821;1382.95
208;6.933328;2.39477;0.361381;1348.31
209;6.966661;1.83738;0.345583;826.819
210;6.999995;2.87457;0.34309;1293.55
211;7.033328;2.41262;0.315265;1085.68
212;7.066661;2.16305;0.27177;1346.19
213;7.099995;1.87458;0.267698;1687.11
214;7.133328;2.31211;0.30266;1040.45
215;7.166661;2.38747;0.403249;1959.44
216;7.199995;3.18087;0.497521;1741.82
