frame;time;maxForce;avgForce;maxAccel
1;0.033333;0.139497;0.0139785;55.4753
2;0.066667;0.345238;0.0364241;152.995
3;0.100000;0.599457;0.0646162;269.755
4;0.133333;0.801744;0.0951192;360.784
5;0.166667;0.792949;0.122437;356.826
6;0.200000;0.939252;0.14775;422.662
7;0.233333;0.877819;0.168437;395.018
8;0.266667;0.949751;0.187955;427.387
9;0.300000;0.968701;0.200787;435.914
10;0.333333;0.957024;0.212497;430.66
11;0.366667;1.02291;0.221495;460.308
12;0.400000;0.989699;0.228638;445.364
13;0.433333;1.09996;0.230527;494.981
14;0.466667;1.00208;0.231077;450.936
15;0.500000;1.0832;0.234766;487.44
16;0.533333;1.03887;0.243982;467.49
17;0.566667;1.0977;0.256928;518.184
18;0.600000;1.17053;0.272175;538.942
19;0.633333;1.15254;0.288701;558.033
20;0.666667;1.3789;0.302471;620.501
21;0.700000;1.33516;0.307419;600.822
22;0.733334;1.33826;0.313328;602.214
23;0.766667;1.28356;0.318286;577.6
24;0.800000;1.25211;0.319094;563.446
25;0.833334;1.24264;0.31877;559.186
26;0.866667;1.27952;0.316737;575.782
27;0.900000;1.31401;0.320469;591.301
28;0.933334;1.23085;0.327751;553.879
29;0.966667;1.06547;0.334972;479.461
30;1.000000;0.920404;0.340153;414.181
31;1.033334;0.990067;0.343327;445.529
32;1.066667;1.04822;0.347556;471.697
33;1.100000;1.09427;0.357719;492.422
34;1.133334;1.12597;0.367725;506.684
35;1.166667;1.13561;0.385186;523.457
36;1.200000;2.24552;0.40195;586.542
37;1.233333;1.1717;0.403718;651.802
38;1.266667;1.62326;0.411734;715.72
39;1.300000;1.9892;0.414314;753.118
40;1.333333;2.10475;0.40613;780.005
41;1.366667;1.34831;0.411023;873.272
42;1.400000;1.49574;0.400132;831.456
43;1.433333;1.37781;0.397449;763.457
44;1.466667;1.84301;0.410755;667.796
45;1.500000;2.42204;0.401656;546.982
46;1.533333;2.16483;0.380457;489.45
47;1.566666;1.35355;0.367159;454.515
48;1.600000;1.30113;0.35501;431.035
49;1.633333;1.19124;0.342546;443.901
50;1.666666;1.0891;0.338919;441.419
51;1.700000;1.38039;0.342865;428.219
52;1.733333;1.29233;0.357519;419.704
53;1.766666;1.1746;0.373209;408.199
54;1.800000;1.16879;0.367165;461.127
55;1.833333;1.18226;0.362043;464.595
56;1.866666;1.12988;0.353531;508.445
57;1.899999;1.2376;0.342062;556.919
58;1.933333;1.23218;0.332535;459.163
59;1.966666;1.32422;0.321038;476.386
60;1.999999;0.988138;0.316802;393.842
61;2.033333;0.992816;0.306423;446.766
62;2.066666;1.04831;0.291901;471.74
63;2.099999;0.997222;0.285154;430.821
