frame;time;current;rest
1;0.033333;100.006300;99.999340;1.000070
2;0.066667;100.024600;99.999340;1.000253
3;0.100000;100.057800;99.999340;1.000585
4;0.133333;100.109500;99.999340;1.001102
5;0.166667;100.180800;99.999340;1.001815
6;0.200000;100.269200;99.999340;1.002699
7;0.233333;100.369900;99.999340;1.003705
8;0.266667;100.477000;99.999340;1.004777
9;0.300000;100.584900;99.999340;1.005855
10;0.333333;100.689000;99.999340;1.006896
11;0.366667;100.785700;99.999340;1.007864
12;0.400000;100.872900;99.999340;1.008736
13;0.433333;100.948500;99.999340;1.009492
14;0.466667;101.011000;99.999340;1.010116
15;0.500000;101.058200;99.999340;1.010589
16;0.533333;101.089700;99.999340;1.010904
17;0.566667;101.105800;99.999340;1.011064
18;0.600000;101.107500;99.999340;1.011082
19;0.633333;101.097900;99.999340;1.010986
20;0.666667;101.080800;99.999340;1.010814
21;0.700000;101.060300;99.999340;1.010610
22;0.733334;101.041500;99.999340;1.010421
23;0.766667;101.027800;99.999340;1.010285
24;0.800000;101.022900;99.999340;1.010235
25;0.833334;101.027900;99.999340;1.010286
26;0.866667;101.043500;99.999340;1.010442
27;0.900000;101.068700;99.999340;1.010693
28;0.933334;101.101100;99.999340;1.011018
29;0.966667;101.138200;99.999340;1.011389
30;1.000000;101.176800;99.999340;1.011774
31;1.033334;101.214000;99.999340;1.012147
32;1.066667;101.247900;99.999340;1.012486
33;1.100000;101.277800;99.999340;1.012785
34;1.133334;101.304700;99.999340;1.013054
35;1.166667;101.331100;99.999340;1.013318
36;1.200000;101.356600;99.999340;1.013573
37;1.233333;101.375400;99.999340;1.013761
38;1.266667;101.381000;99.999340;1.013817
39;1.300000;101.371400;99.999340;1.013720
40;1.333333;101.348900;99.999340;1.013496
41;1.366667;101.318200;99.999340;1.013189
42;1.400000;101.283200;99.999340;1.012839
43;1.433333;101.245800;99.999340;1.012464
44;1.466667;101.206600;99.999340;1.012073
45;1.500000;101.165800;99.999340;1.011664
46;1.533333;101.123100;99.999340;1.011238
47;1.566666;101.079100;99.999340;1.010797
48;1.600000;101.034100;99.999340;1.010348
49;1.633333;100.988700;99.999340;1.009894
50;1.666666;100.944400;99.999340;1.009451
51;1.700000;100.902000;99.999340;1.009026
52;1.733333;100.861700;99.999340;1.008624
53;1.766666;100.823300;99.999340;1.008240
54;1.800000;100.786100;99.999340;1.007868
55;1.833333;100.750200;99.999340;1.007509
56;1.866666;100.716200;99.999340;1.007169
57;1.899999;100.685400;99.999340;1.006861
58;1.933333;100.659000;99.999340;1.006596
59;1.966666;100.638000;99.999340;1.006387
60;1.999999;100.623500;99.999340;1.006241
61;2.033333;100.615600;99.999340;1.006162
62;2.066666;100.614500;99.999340;1.006152
63;2.099999;100.620100;99.999340;1.006208
64;2.133333;100.632000;99.999340;1.006327
65;2.166666;100.649500;99.999340;1.006502
66;2.199999;100.672000;99.999340;1.006727
67;2.233333;100.698400;99.999340;1.006991
68;2.266666;100.727900;99.999340;1.007286
69;2.299999;100.759800;99.999340;1.007605
70;2.333333;100.793900;99.999340;1.007945
71;2.366666;100.829500;99.999340;1.008301
72;2.399999;100.866200;99.999340;1.008668
73;2.433332;100.903600;99.999340;1.009043
74;2.466666;100.941300;99.999340;1.009419
75;2.499999;100.978000;99.999340;1.009787
76;2.533332;101.012700;99.999340;1.010134
77;2.566666;101.045000;99.999340;1.010457
78;2.599999;101.074300;99.999340;1.010750
79;2.633332;101.100400;99.999340;1.011011
80;2.666666;101.123500;99.999340;1.011241
81;2.699999;101.143500;99.999340;1.011442
