frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
25;0.833334;19;19.000010;19.000000;1.000001;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001
26;0.866667;19;19.000010;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001
27;0.900000;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000002;1.000000;1.000001;1.000000;1.000000;1.000002;1.000000
28;0.933334;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000002
29;0.966667;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000002;1.000000;1.000001;1.000001
30;1.000000;19;19.000020;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000000
31;1.033334;19;19.000020;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001
32;1.066667;19;19.000020;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001
33;1.100000;19;19.000020;19.000000;1.000002;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001
34;1.133334;19;19.000020;19.000000;1.000002;1.000001;1.000002;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000002;1.000001;1.000001;1.000002
35;1.166667;19;19.000020;19.000000;1.000002;1.000001;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001
36;1.200000;19;19.000020;19.000000;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000002;1.000001;1.000001;1.000001;1.000001;1.000002;1.000001;1.000002;1.000001;1.000002;1.000002;1.000001;1.000002;1.000001
37;1.233333;19;19.000030;19.000000;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000002
38;1.266667;19;19.000030;19.000000;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000001;1.000002;1.000001;1.000002;1.000002
39;1.300000;19;19.000030;19.000000;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000002;1.000001;1.000002;1.000001;1.000001;1.000002;1.000002;1.000001;1.000001;1.000001
40;1.333333;19;19.000030;19.000000;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000002;1.000001;1.000002;1.000001;1.000002;1.000002;1.000001;1.000001;1.000002;1.000002;1.000002
41;1.366667;19;19.000030;19.000000;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000002;1.000001;1.000002;1.000002;1.000001
42;1.400000;19;19.000030;19.000000;1.000003;1.000002;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001;1.000002;1.000001;1.000002;1.000002;1.000002;1.000002;1.000001
43;1.433333;19;19.000040;19.000000;1.000003;1.000002;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000003;1.000001;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000001
44;1.466667;19;19.000040;19.000000;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000003;1.000002;1.000002;1.000003;1.000001;1.000002;1.000001
45;1.500000;19;19.000040;19.000000;1.000003;1.000002;1.000003;1.000003;1.000002;1.000003;1.000003;1.000003;1.000002;1.000002;1.000002;1.000003;1.000001;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002
46;1.533333;19;19.000040;19.000000;1.000003;1.000002;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000003
47;1.566666;19;19.000050;19.000000;1.000003;1.000002;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;1.000003;1.000002;1.000003
48;1.600000;19;19.000050;19.000000;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000003;1.000003;1.000002;1.000002;1.000003;1.000002;1.000003;1.000002;1.000003;1.000003
49;1.633333;19;19.000050;19.000000;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000002
50;1.666666;19;19.000050;19.000000;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000003;1.000003;1.000002;1.000003
51;1.700000;19;19.000060;19.000000;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000003;1.000003;1.000002;1.000003;1.000003
