method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.003818;1.197810E+001;3;1
XPBD;1;2;0.005508;7.359002E+000;3;2
XPBD;1;4;0.008467;3.797943E+000;3;4
XPBD;1;8;0.014762;1.760783E+000;3;8
XPBD;1;16;0.028501;8.042151E-001;3;16
XPBD;1;32;0.054873;5.592665E-001;3;32
XPBD;2;1;0.007301;4.354493E+000;3;2
XPBD;2;2;0.010873;2.014537E+000;3;4
XPBD;2;4;0.016905;8.152104E-001;3;8
XPBD;2;8;0.029433;3.912294E-001;3;16
XPBD;2;16;0.057129;3.502505E-001;3;32
XPBD;2;32;0.109523;3.494710E-001;3;64
XPBD;4;1;0.014488;1.271278E+000;3;4
XPBD;4;2;0.021323;4.539324E-001;3;8
XPBD;4;4;0.034513;2.488226E-001;3;16
XPBD;4;8;0.060976;2.419557E-001;3;32
XPBD;4;16;0.113728;2.419099E-001;3;64
XPBD;4;32;0.218953;2.419213E-001;3;128
XPBD;8;1;0.028525;3.858741E-001;3;8
XPBD;8;2;0.042433;1.672329E-001;3;16
XPBD;8;4;0.068363;1.593285E-001;3;32
XPBD;8;8;0.121803;1.594519E-001;3;64
XPBD;8;16;0.227348;1.594551E-001;3;128
XPBD;8;32;0.438666;1.594551E-001;3;256
XPBD;16;1;0.057625;1.352021E-001;3;16
XPBD;16;2;0.083963;9.111487E-002;3;32
XPBD;16;4;0.137123;9.078735E-002;3;64
XPBD;16;8;0.245807;9.079089E-002;3;128
XPBD;16;16;0.454478;9.079089E-002;3;256
XPBD;16;32;0.876523;9.079089E-002;3;512
XPBD;32;1;0.115415;5.553504E-002;3;32
XPBD;32;2;0.168813;4.904477E-002;3;64
XPBD;32;4;0.274223;4.842029E-002;3;128
XPBD;32;8;0.486605;4.842029E-002;3;256
XPBD;32;16;0.918546;4.842029E-002;3;512
XPBD;32;32;1.753843;4.842029E-002;3;1024
VBD;1;1;0.007201;7.662043E-001;3;1
VBD;1;2;0.010132;5.975075E-001;3;2
VBD;1;4;0.016567;5.543139E-001;3;4
VBD;1;8;0.030248;5.437933E-001;3;8
VBD;1;16;0.056700;5.425732E-001;3;16
VBD;1;32;0.111333;5.425226E-001;3;32
VBD;2;1;0.013388;4.097954E-001;3;2
VBD;2;2;0.019627;3.632566E-001;3;4
VBD;2;4;0.033375;3.512853E-001;3;8
VBD;2;8;0.059228;3.508755E-001;3;16
VBD;2;16;0.114013;3.510182E-001;3;32
VBD;2;32;0.218661;3.510040E-001;3;64
VBD;4;1;0.026715;2.816380E-001;3;4
VBD;4;2;0.039831;2.450487E-001;3;8
VBD;4;4;0.066536;2.433217E-001;3;16
VBD;4;8;0.119784;2.434720E-001;3;32
VBD;4;16;0.224716;2.434936E-001;3;64
VBD;4;32;0.436824;2.435009E-001;3;128
VBD;8;1;0.052504;1.777921E-001;3;8
VBD;8;2;0.079031;1.604924E-001;3;16
VBD;8;4;0.132023;1.599876E-001;3;32
VBD;8;8;0.238784;1.599304E-001;3;64
VBD;8;16;0.449852;1.599342E-001;3;128
VBD;8;32;0.876284;1.599304E-001;3;256
VBD;16;1;0.104633;9.810807E-002;3;16
VBD;16;2;0.158763;9.161109E-002;3;32
VBD;16;4;0.264467;9.161115E-002;3;64
VBD;16;8;0.478368;9.149664E-002;3;128
VBD;16;16;0.901866;9.167213E-002;3;256
VBD;16;32;1.754038;9.149664E-002;3;512
VBD;32;1;0.209513;5.330382E-002;3;32
VBD;32;2;0.318802;4.962080E-002;3;64
VBD;32;4;0.526801;4.945242E-002;3;128
VBD;32;8;0.955528;4.945242E-002;3;256
VBD;32;16;1.801326;4.945242E-002;3;512
VBD;32;32;3.531591;4.945242E-002;3;1024
