method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.003798;1.172004E+001;3;1
XPBD;1;2;0.005368;7.120557E+000;3;2
XPBD;1;4;0.008815;3.593080E+000;3;4
XPBD;1;8;0.015355;1.578006E+000;3;8
XPBD;1;16;0.029111;5.773389E-001;3;16
XPBD;1;32;0.055215;2.460605E-001;3;32
XPBD;2;1;0.007355;4.146431E+000;3;2
XPBD;2;2;0.010838;1.847440E+000;3;4
XPBD;2;4;0.016713;6.603910E-001;3;8
XPBD;2;8;0.030463;1.420138E-001;3;16
XPBD;2;16;0.056836;1.067564E-002;3;32
XPBD;2;32;0.110141;7.217914E-003;3;64
XPBD;4;1;0.014418;1.139328E+000;3;4
XPBD;4;2;0.020681;3.486524E-001;3;8
XPBD;4;4;0.034349;1.303028E-001;3;16
XPBD;4;8;0.061402;1.261104E-001;3;32
XPBD;4;16;0.113760;1.261551E-001;3;64
XPBD;4;32;0.221423;1.261430E-001;3;128
XPBD;8;1;0.029095;3.510430E-001;3;8
XPBD;8;2;0.042591;2.122199E-001;3;16
XPBD;8;4;0.068963;2.120239E-001;3;32
XPBD;8;8;0.123125;2.118555E-001;3;64
XPBD;8;16;0.227987;2.118573E-001;3;128
XPBD;8;32;0.442422;2.118573E-001;3;256
XPBD;16;1;0.057470;2.792146E-001;3;16
XPBD;16;2;0.084314;2.772485E-001;3;32
XPBD;16;4;0.137634;2.768255E-001;3;64
XPBD;16;8;0.243077;2.768161E-001;3;128
XPBD;16;16;0.455466;2.768161E-001;3;256
XPBD;16;32;0.879730;2.768161E-001;3;512
XPBD;32;1;0.114968;3.145046E-001;3;32
XPBD;32;2;0.168773;3.176643E-001;3;64
XPBD;32;4;0.274869;3.184587E-001;3;128
XPBD;32;8;0.485796;3.184587E-001;3;256
XPBD;32;16;0.918004;3.184587E-001;3;512
XPBD;32;32;1.768499;3.184587E-001;3;1024
VBD;1;1;0.007018;5.473802E-001;3;1
VBD;1;2;0.010123;3.150651E-001;3;2
VBD;1;4;0.016318;2.395175E-001;3;4
VBD;1;8;0.029779;2.221085E-001;3;8
VBD;1;16;0.057295;2.198407E-001;3;16
VBD;1;32;0.109498;2.196605E-001;3;32
VBD;2;1;0.013281;1.533578E-001;3;2
VBD;2;2;0.020023;5.588862E-002;3;4
VBD;2;4;0.032851;1.600956E-002;3;8
VBD;2;8;0.060131;2.407060E-003;3;16
VBD;2;16;0.111965;1.294651E-004;3;32
VBD;2;32;0.219573;9.378400E-005;3;64
VBD;4;1;0.026418;1.279907E-001;3;4
VBD;4;2;0.039615;1.254271E-001;3;8
VBD;4;4;0.066151;1.255256E-001;3;16
VBD;4;8;0.119890;1.254336E-001;3;32
VBD;4;16;0.223821;1.254007E-001;3;64
VBD;4;32;0.435196;1.253940E-001;3;128
VBD;8;1;0.052715;2.065999E-001;3;8
VBD;8;2;0.078629;2.114610E-001;3;16
VBD;8;4;0.131343;2.119480E-001;3;32
VBD;8;8;0.237828;2.120160E-001;3;64
VBD;8;16;0.449361;2.120107E-001;3;128
VBD;8;32;0.869795;2.120160E-001;3;256
VBD;16;1;0.104498;2.743636E-001;3;16
VBD;16;2;0.157133;2.764299E-001;3;32
VBD;16;4;0.262946;2.763748E-001;3;64
VBD;16;8;0.473747;2.765389E-001;3;128
VBD;16;16;0.896861;2.762869E-001;3;256
VBD;16;32;1.758826;2.765389E-001;3;512
VBD;32;1;0.210814;3.148749E-001;3;32
VBD;32;2;0.314535;3.180462E-001;3;64
VBD;32;4;0.531572;3.174777E-001;3;128
VBD;32;8;0.953393;3.174777E-001;3;256
VBD;32;16;1.810684;3.174777E-001;3;512
VBD;32;32;3.479702;3.174777E-001;3;1024
