method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
VBD;16;24;1.321633;4.362284E-001;3;384
VBD;16;32;1.755953;4.357719E-001;3;512
VBD;24;1;0.157504;4.500039E-001;3;24
VBD;24;2;0.236813;4.487866E-001;3;48
VBD;24;4;0.395363;4.490905E-001;3;96
VBD;24;8;0.711541;4.486306E-001;3;192
VBD;24;12;1.025374;4.467758E-001;3;288
VBD;24;16;1.346198;4.470110E-001;3;384
VBD;24;24;1.970352;4.467758E-001;3;576
VBD;24;32;2.618545;4.486306E-001;3;768
VBD;32;1;0.209728;4.501336E-001;3;32
VBD;32;2;0.315906;4.490034E-001;3;64
VBD;32;4;0.526594;4.497962E-001;3;128
VBD;32;8;0.955705;4.514809E-001;3;256
VBD;32;12;1.369328;4.504973E-001;3;384
VBD;32;16;1.808862;4.471319E-001;3;512
VBD;32;24;2.637360;4.504973E-001;3;768
VBD;32;32;3.510358;4.514809E-001;3;1024
