method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.003814;1.195715E+001;3;1
XPBD;1;2;0.005364;7.339267E+000;3;2
XPBD;1;4;0.008554;3.780719E+000;3;4
XPBD;1;8;0.014589;1.744461E+000;3;8
XPBD;1;16;0.028136;7.823398E-001;3;16
XPBD;1;32;0.054913;5.325431E-001;3;32
XPBD;2;1;0.007150;4.336977E+000;3;2
XPBD;2;2;0.010633;1.999455E+000;3;4
XPBD;2;4;0.017283;7.970122E-001;3;8
XPBD;2;8;0.030863;3.627470E-001;3;16
XPBD;2;16;0.056552;3.200223E-001;3;32
XPBD;2;32;0.110114;3.192761E-001;3;64
XPBD;4;1;0.014183;1.257007E+000;3;4
XPBD;4;2;0.021078;4.328256E-001;3;8
XPBD;4;4;0.034553;2.162922E-001;3;16
XPBD;4;8;0.060881;2.091057E-001;3;32
XPBD;4;16;0.112758;2.090675E-001;3;64
XPBD;4;32;0.218740;2.090787E-001;3;128
XPBD;8;1;0.028869;3.669193E-001;3;8
XPBD;8;2;0.042052;1.326306E-001;3;16
XPBD;8;4;0.067968;1.236774E-001;3;32
XPBD;8;8;0.121806;1.238001E-001;3;64
XPBD;8;16;0.228024;1.238017E-001;3;128
XPBD;8;32;0.439211;1.238017E-001;3;256
XPBD;16;1;0.057368;1.085991E-001;3;16
XPBD;16;2;0.083925;5.328876E-002;3;32
XPBD;16;4;0.137086;5.282420E-002;3;64
XPBD;16;8;0.243417;5.283123E-002;3;128
XPBD;16;16;0.454665;5.283123E-002;3;256
XPBD;16;32;0.879928;5.283123E-002;3;512
XPBD;32;1;0.114721;2.483399E-002;3;32
XPBD;32;2;0.168732;1.491731E-002;3;64
XPBD;32;4;0.275626;1.458598E-002;3;128
XPBD;32;8;0.487294;1.458598E-002;3;256
XPBD;32;16;0.911024;1.458598E-002;3;512
XPBD;32;32;1.759348;1.458598E-002;3;1024
VBD;1;1;0.006957;7.448222E-001;3;1
VBD;1;2;0.010130;5.721833E-001;3;2
VBD;1;4;0.017058;5.276985E-001;3;4
VBD;1;8;0.029801;5.169762E-001;3;8
VBD;1;16;0.056468;5.157469E-001;3;16
VBD;1;32;0.109292;5.156956E-001;3;32
VBD;2;1;0.013584;3.824484E-001;3;2
VBD;2;2;0.020000;3.331330E-001;3;4
VBD;2;4;0.033493;3.209669E-001;3;8
VBD;2;8;0.060079;3.205676E-001;3;16
VBD;2;16;0.112627;3.207137E-001;3;32
VBD;2;32;0.219083;3.206992E-001;3;64
VBD;4;1;0.026940;2.491975E-001;3;4
VBD;4;2;0.039826;2.119800E-001;3;8
VBD;4;4;0.066373;2.103555E-001;3;16
VBD;4;8;0.119843;2.105067E-001;3;32
VBD;4;16;0.226116;2.105289E-001;3;64
VBD;4;32;0.433786;2.105359E-001;3;128
VBD;8;1;0.054044;1.421968E-001;3;8
VBD;8;2;0.079167;1.247747E-001;3;16
VBD;8;4;0.132042;1.242704E-001;3;32
VBD;8;8;0.237579;1.242151E-001;3;64
VBD;8;16;0.448989;1.242187E-001;3;128
VBD;8;32;0.871886;1.242151E-001;3;256
VBD;16;1;0.104860;5.984084E-002;3;16
VBD;16;2;0.158253;5.320764E-002;3;32
VBD;16;4;0.264283;5.321372E-002;3;64
VBD;16;8;0.475010;5.310207E-002;3;128
VBD;16;16;0.908064;5.327198E-002;3;256
VBD;16;32;1.746270;5.310207E-002;3;512
VBD;32;1;0.210297;1.997891E-002;3;32
VBD;32;2;0.317284;1.586407E-002;3;64
VBD;32;4;0.527353;1.531847E-002;3;128
VBD;32;8;0.952048;1.531847E-002;3;256
VBD;32;16;1.802053;1.531847E-002;3;512
VBD;32;32;3.485815;1.531847E-002;3;1024
