method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
VBD;24;1;0.196308;4.410080E-002;3;24
VBD;24;2;0.315839;3.107858E-002;3;48
VBD;24;4;0.554136;3.143681E-002;3;96
VBD;24;8;1.029242;3.161890E-002;3;192
VBD;24;12;1.509298;3.121848E-002;3;288
VBD;24;16;1.980950;3.082474E-002;3;384
VBD;24;24;2.931588;3.133525E-002;3;576
VBD;24;32;3.884279;3.161890E-002;3;768
VBD;32;1;0.262709;5.174193E-002;3;32
VBD;32;2;0.421737;3.112899E-002;3;64
VBD;32;4;0.737733;3.070837E-002;3;128
VBD;32;8;1.384097;3.866207E-002;3;256
VBD;32;12;2.008747;3.353262E-002;3;384
VBD;32;16;2.644781;3.107419E-002;3;512
VBD;32;24;3.912893;3.353262E-002;3;768
VBD;32;32;5.183263;3.866207E-002;3;1024
