frame;time;dx;dy;dz;displacement;angleFromVertical
52;1.733333;0.000000;0.091671;0.000000;0.091671;0.000000
53;1.766666;0.000000;0.064548;0.000000;0.064548;0.000000
54;1.800000;0.000000;0.041074;0.000000;0.041074;0.000000
55;1.833333;0.000000;0.023800;0.000000;0.023800;0.000000
56;1.866666;0.000000;0.014573;0.000000;0.014573;0.000000
57;1.899999;0.000000;0.014347;0.000000;0.014347;0.000000
58;1.933333;0.000000;0.023078;0.000000;0.023078;0.000000
59;1.966666;0.000000;0.039745;0.000000;0.039745;0.000000
60;1.999999;0.000000;0.062461;0.000000;0.062461;0.000000
61;2.033333;0.000000;0.088689;0.000000;0.088689;0.000000
62;2.066666;0.000000;0.115526;0.000000;0.115526;0.000000
63;2.099999;0.000000;0.140027;0.000000;0.140027;0.000000
64;2.133333;0.000000;0.159525;0.000000;0.159525;0.000000
65;2.166666;0.000000;0.171916;0.000000;0.171916;0.000000
66;2.199999;0.000000;0.175892;0.000000;0.175892;0.000000
67;2.233333;0.000000;0.171079;0.000000;0.171079;0.000000
68;2.266666;0.000000;0.158071;0.000000;0.158071;0.000000
69;2.299999;0.000000;0.138357;0.000000;0.138357;0.000000
70;2.333333;0.000000;0.114147;0.000000;0.114147;0.000000
71;2.366666;0.000000;0.088128;0.000000;0.088128;0.000000
72;2.399999;0.000000;0.063167;0.000000;0.063167;0.000000
73;2.433332;0.000000;0.041994;0.000000;0.041994;0.000000
74;2.466666;0.000000;0.026906;0.000000;0.026906;0.000000
75;2.499999;0.000000;0.019508;0.000000;0.019508;0.000000
76;2.533332;0.000000;0.020555;0.000000;0.020555;0.000000
77;2.566666;0.000000;0.029869;0.000000;0.029869;0.000000
78;2.599999;0.000000;0.046368;0.000000;0.046368;0.000000
79;2.633332;0.000000;0.068189;0.000000;0.068189;0.000000
80;2.666666;0.000000;0.092903;0.000000;0.092903;0.000000
81;2.699999;0.000000;0.117776;0.000000;0.117776;0.000000
82;2.733332;0.000000;0.140080;0.000000;0.140080;0.000000
83;2.766665;0.000000;0.157390;0.000000;0.157390;0.000000
84;2.799999;0.000000;0.167843;0.000000;0.167843;0.000000
85;2.833332;0.000000;0.170341;0.000000;0.170341;0.000000
86;2.866665;0.000000;0.164672;0.000000;0.164672;0.000000
87;2.899999;0.000000;0.151517;0.000000;0.151517;0.000000
88;2.933332;0.000000;0.132374;0.000000;0.132374;0.000000
89;2.966665;0.000000;0.109386;0.000000;0.109386;0.000000
90;2.999999;0.000000;0.085103;0.000000;0.085103;0.000000
91;3.033332;0.000000;0.062197;0.000000;0.062197;0.000000
92;3.066665;0.000000;0.043169;0.000000;0.043169;0.000000
93;3.099998;0.000000;0.030076;0.000000;0.030076;0.000000
94;3.133332;0.000000;0.024314;0.000000;0.024314;0.000000
95;3.166665;0.000000;0.026459;0.000000;0.026459;0.000000
96;3.199998;0.000000;0.036217;0.000000;0.036217;0.000000
97;3.233332;0.000000;0.052461;0.000000;0.052461;0.000000
98;3.266665;0.000000;0.073360;0.000000;0.073360;0.000000
99;3.299998;0.000000;0.096590;0.000000;0.096590;0.000000
100;3.333332;0.000000;0.119587;0.000000;0.119587;0.000000
101;3.366665;0.000000;0.139831;0.000000;0.139831;0.000000
102;3.399998;0.000000;0.155127;0.000000;0.155127;0.000000
103;3.433331;0.000000;0.163833;0.000000;0.163833;0.000000
104;3.466665;0.000000;0.165042;0.000000;0.165042;0.000000
105;3.499998;0.000000;0.158672;0.000000;0.158672;0.000000
106;3.533331;0.000000;0.145475;0.000000;0.145475;0.000000
107;3.566665;0.000000;0.126954;0.000000;0.126954;0.000000
108;3.599998;0.000000;0.105179;0.000000;0.105179;0.000000
109;3.633331;0.000000;0.082560;0.000000;0.082560;0.000000
110;3.666665;0.000000;0.061586;0.000000;0.061586;0.000000
111;3.699998;0.000000;0.044541;0.000000;0.044541;0.000000
112;3.733331;0.000000;0.033267;0.000000;0.033267;0.000000
113;3.766665;0.000000;0.028957;0.000000;0.028957;0.000000
114;3.799998;0.000000;0.032034;0.000000;0.032034;0.000000
115;3.833331;0.000000;0.042106;0.000000;0.042106;0.000000
116;3.866664;0.000000;0.058016;0.000000;0.058016;0.000000
