frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
109;3.633331;480;324.658400;319.999800;1.234420;1.014557
110;3.666665;480;324.314300;319.999800;1.221686;1.013482
111;3.699998;480;324.007000;319.999800;1.210065;1.012522
112;3.733331;480;323.736300;319.999800;1.199613;1.011675
113;3.766665;480;323.502000;319.999800;1.190376;1.010943
114;3.799998;480;323.302900;319.999800;1.182386;1.010321
115;3.833331;480;323.138900;319.999800;1.175665;1.009809
116;3.866664;480;323.009200;319.999800;1.170230;1.009404
117;3.899998;480;322.912400;319.999800;1.166085;1.009101
118;3.933331;480;322.848000;319.999800;1.163233;1.008900
119;3.966664;480;322.815200;319.999800;1.161669;1.008797
120;3.999998;480;322.812800;319.999800;1.161385;1.008790
121;4.033331;480;322.840600;319.999800;1.162362;1.008877
122;4.066664;480;322.898100;319.999800;1.164582;1.009057
123;4.099998;480;322.985100;319.999800;1.168017;1.009328
124;4.133331;480;323.101500;319.999800;1.172641;1.009692
125;4.166664;480;323.247600;319.999800;1.178419;1.010148
126;4.199997;480;323.423600;319.999800;1.185310;1.010698
127;4.233331;480;323.629500;319.999800;1.193272;1.011342
128;4.266664;480;323.864800;319.999800;1.202251;1.012077
129;4.299997;480;324.129200;319.999800;1.212416;1.012904
130;4.333331;480;324.421600;319.999800;1.223562;1.013817
131;4.366664;480;324.740300;319.999800;1.235482;1.014814
132;4.399997;480;325.083200;319.999800;1.248067;1.015885
133;4.433331;480;325.447800;319.999800;1.261203;1.017024
134;4.466664;480;325.830800;319.999800;1.274762;1.018221
135;4.499997;480;326.227900;319.999800;1.288608;1.019461
136;4.533330;480;326.634600;319.999800;1.302598;1.020734
137;4.566664;480;327.046200;319.999800;1.316578;1.022019
138;4.599997;480;327.457600;319.999800;1.330389;1.023305
139;4.633330;480;327.862900;319.999800;1.343865;1.024572
140;4.666664;480;328.256800;319.999800;1.356838;1.025802
141;4.699997;480;328.633000;319.999800;1.369137;1.026979
142;4.733330;480;328.986000;319.999800;1.380597;1.028081
143;4.766664;480;329.310000;319.999800;1.391059;1.029094
144;4.799997;480;329.599800;319.999800;1.400509;1.029999
145;4.833330;480;329.850100;319.999800;1.408786;1.030781
146;4.866663;480;330.057000;319.999800;1.415625;1.031428
147;4.899997;480;330.216900;319.999800;1.420919;1.031928
148;4.933330;480;330.327500;319.999800;1.424587;1.032273
149;4.966663;480;330.387400;319.999800;1.426580;1.032461
150;4.999997;480;330.396300;319.999800;1.426881;1.032489
151;5.033330;480;330.354800;319.999800;1.425504;1.032359
152;5.066663;480;330.263900;319.999800;1.422496;1.032075
153;5.099997;480;330.125900;319.999800;1.417933;1.031643
154;5.133330;480;329.943600;319.999800;1.411917;1.031073
155;5.166663;480;329.721100;319.999800;1.404575;1.030379
156;5.199996;480;329.463000;319.999800;1.396051;1.029572
157;5.233330;480;329.174500;319.999800;1.386506;1.028670
158;5.266663;480;328.859800;319.999800;1.376103;1.027687
159;5.299996;480;328.525200;319.999800;1.365016;1.026642
160;5.333330;480;328.175200;319.999800;1.353417;1.025548
161;5.366663;480;327.814700;319.999800;1.341477;1.024421
162;5.399996;480;327.449400;319.999800;1.329355;1.023279
163;5.433330;480;327.083500;319.999800;1.317202;1.022135
164;5.466663;480;326.721600;319.999800;1.305159;1.021005
165;5.499996;480;326.368500;319.999800;1.293358;1.019902
166;5.533329;480;326.028700;319.999800;1.281914;1.018840
167;5.566663;480;325.705400;319.999800;1.270935;1.017829
168;5.599996;480;325.402300;319.999800;1.260520;1.016883
169;5.633329;480;325.122300;319.999800;1.250755;1.016007
170;5.666663;480;324.867300;319.999800;1.241718;1.015210
171;5.699996;480;324.638700;319.999800;1.233477;1.014496
172;5.733329;480;324.437500;319.999800;1.226089;1.013868
173;5.766663;480;324.264400;319.999800;1.219603;1.013326
174;5.799996;480;324.118900;319.999800;1.214060;1.012871
175;5.833329;480;324.000700;319.999800;1.209489;1.012503
