frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;1984;639.990100;639.990100;1.000000;1.000000
1;0.033333;1984;640.028300;639.990100;1.007169;1.000053
2;0.066667;1984;640.117800;639.990100;1.018406;1.000193
3;0.100000;1984;640.279100;639.990100;1.033111;1.000442
4;0.133333;1984;640.521000;639.990100;1.050891;1.000814
5;0.166667;1984;640.846600;639.990100;1.071447;1.001319
6;0.200000;1984;641.251600;639.990100;1.094489;1.001954
7;0.233333;1984;641.737300;639.990100;1.119676;1.002712
8;0.266667;1984;642.293900;639.990100;1.146603;1.003584
9;0.300000;1984;642.923500;639.990100;1.174859;1.004569
10;0.333333;1984;643.621000;639.990100;1.204083;1.005659
11;0.366667;1984;644.383500;639.990100;1.234025;1.006850
12;0.400000;1984;645.203600;639.990100;1.264544;1.008132
13;0.433333;1984;646.072800;639.990100;1.295605;1.009488
14;0.466667;1984;646.974000;639.990100;1.327203;1.010897
15;0.500000;1984;647.889200;639.990100;1.359269;1.012327
16;0.533333;1984;648.801900;639.990100;1.391644;1.013754
17;0.566667;1984;649.701500;639.990100;1.424051;1.015159
18;0.600000;1984;650.573600;639.990100;1.456092;1.016520
19;0.633333;1984;651.406400;639.990100;1.487263;1.017823
20;0.666667;1984;652.193500;639.990100;1.516986;1.019052
21;0.700000;1984;652.922800;639.990100;1.544645;1.020194
22;0.733334;1984;653.585100;639.990100;1.569623;1.021226
23;0.766667;1984;654.166700;639.990100;1.591342;1.022136
24;0.800000;1984;654.659200;639.990100;1.609296;1.022903
25;0.833334;1984;655.045100;639.990100;1.623068;1.023508
26;0.866667;1984;655.317000;639.990100;1.632343;1.023932
27;0.900000;1984;655.463300;639.990100;1.636921;1.024162
28;0.933334;1984;655.479400;639.990100;1.636718;1.024186
29;0.966667;1984;655.361800;639.990100;1.631765;1.024003
30;1.000000;1984;655.111600;639.990100;1.622206;1.023614
31;1.033334;1984;654.735200;639.990100;1.608300;1.023024
32;1.066667;1984;654.242900;639.990100;1.590399;1.022256
33;1.100000;1984;653.650100;639.990100;1.568951;1.021329
34;1.133334;1984;652.976200;639.990100;1.544477;1.020272
35;1.166667;1984;652.240400;639.990100;1.517547;1.019127
36;1.200000;1984;651.469100;639.990100;1.488773;1.017920
37;1.233333;1984;650.674900;639.990100;1.458760;1.016680
38;1.266667;1984;649.856900;639.990100;1.428100;1.015401
39;1.300000;1984;649.013800;639.990100;1.397319;1.014084
40;1.333333;1984;648.155500;639.990100;1.366855;1.012742
41;1.366667;1984;647.296900;639.990100;1.337044;1.011401
42;1.400000;1984;646.461600;639.990100;1.308121;1.010098
43;1.433333;1984;645.669500;639.990100;1.280264;1.008858
44;1.466667;1984;644.936400;639.990100;1.253636;1.007712
45;1.500000;1984;644.269000;639.990100;1.228408;1.006670
46;1.533333;1984;643.671100;639.990100;1.204748;1.005734
47;1.566666;1984;643.140400;639.990100;1.182814;1.004908
48;1.600000;1984;642.678100;639.990100;1.162758;1.004185
49;1.633333;1984;642.285900;639.990100;1.144735;1.003570
50;1.666666;1984;641.959300;639.990100;1.128903;1.003062
51;1.700000;1984;641.699000;639.990100;1.115423;1.002658
52;1.733333;1984;641.505800;639.990100;1.104468;1.002352
53;1.766666;1984;641.373800;639.990100;1.096203;1.002146
54;1.800000;1984;641.300000;639.990100;1.090781;1.002030
55;1.833333;1984;641.276700;639.990100;1.088320;1.001996
56;1.866666;1984;641.305100;639.990100;1.088894;1.002039
57;1.899999;1984;641.383100;639.990100;1.092512;1.002163
58;1.933333;1984;641.517200;639.990100;1.099117;1.002369
59;1.966666;1984;641.704800;639.990100;1.108590;1.002664
60;1.999999;1984;641.949200;639.990100;1.120757;1.003045
61;2.033333;1984;642.249900;639.990100;1.135401;1.003515
62;2.066666;1984;642.609900;639.990100;1.152272;1.004079
63;2.099999;1984;643.026600;639.990100;1.171107;1.004730
64;2.133333;1984;643.498800;639.990100;1.191636;1.005468
65;2.166666;1984;644.026900;639.990100;1.213606;1.006292
66;2.199999;1984;644.607100;639.990100;1.236775;1.007199
67;2.233333;1984;645.237400;639.990100;1.260913;1.008184
68;2.266666;1984;645.909500;639.990100;1.285781;1.009233
