frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;480;319.999800;319.999800;1.000000;1.000000
1;0.033333;480;320.025400;319.999800;1.005759;1.000079
2;0.066667;480;320.082600;319.999800;1.013952;1.000258
3;0.100000;480;320.178700;319.999800;1.024196;1.000558
4;0.133333;480;320.319700;319.999800;1.036508;1.000998
5;0.166667;480;320.509800;319.999800;1.050818;1.001594
6;0.200000;480;320.753300;319.999800;1.066977;1.002354
7;0.233333;480;321.050600;319.999800;1.084804;1.003283
8;0.266667;480;321.403300;319.999800;1.104114;1.004386
9;0.300000;480;321.811700;319.999800;1.124707;1.005661
10;0.333333;480;322.275600;319.999800;1.146375;1.007112
11;0.366667;480;322.795100;319.999800;1.168902;1.008734
12;0.400000;480;323.369100;319.999800;1.192087;1.010529
13;0.433333;480;323.996900;319.999800;1.215762;1.012491
14;0.466667;480;324.675400;319.999800;1.239808;1.014611
15;0.500000;480;325.400400;319.999800;1.264158;1.016876
16;0.533333;480;326.164200;319.999800;1.288777;1.019263
17;0.566667;480;326.957600;319.999800;1.313857;1.021743
18;0.600000;480;327.767600;319.999800;1.339440;1.024274
19;0.633333;480;328.579800;319.999800;1.365196;1.026811
20;0.666667;480;329.378100;319.999800;1.390936;1.029307
21;0.700000;480;330.147600;319.999800;1.416386;1.031711
22;0.733334;480;330.874000;319.999800;1.441172;1.033982
23;0.766667;480;331.546200;319.999800;1.464838;1.036082
24;0.800000;480;332.155400;319.999800;1.486875;1.037986
25;0.833334;480;332.694500;319.999800;1.506755;1.039671
26;0.866667;480;333.158800;319.999800;1.523976;1.041122
27;0.900000;480;333.543500;319.999800;1.538095;1.042323
28;0.933334;480;333.842900;319.999800;1.548755;1.043259
29;0.966667;480;334.051800;319.999800;1.555708;1.043913
30;1.000000;480;334.164200;319.999800;1.558807;1.044263
31;1.033334;480;334.173700;319.999800;1.558012;1.044293
32;1.066667;480;334.076600;319.999800;1.553378;1.043989
33;1.100000;480;333.870000;319.999800;1.545047;1.043343
34;1.133334;480;333.554700;319.999800;1.533238;1.042359
35;1.166667;480;333.134700;319.999800;1.518238;1.041046
36;1.200000;480;332.617900;319.999800;1.500395;1.039430
37;1.233333;480;332.014500;319.999800;1.480110;1.037546
38;1.266667;480;331.339400;319.999800;1.457818;1.035436
39;1.300000;480;330.608500;319.999800;1.433983;1.033151
40;1.333333;480;329.839100;319.999800;1.409112;1.030747
41;1.366667;480;329.049300;319.999800;1.384298;1.028280
42;1.400000;480;328.257700;319.999800;1.359200;1.025805
43;1.433333;480;327.480200;319.999800;1.334211;1.023376
44;1.466667;480;326.732300;319.999800;1.309690;1.021038
45;1.500000;480;326.025300;319.999800;1.285946;1.018829
46;1.533333;480;325.369400;319.999800;1.263239;1.016780
47;1.566666;480;324.771300;319.999800;1.241776;1.014910
48;1.600000;480;324.234200;319.999800;1.221716;1.013232
49;1.633333;480;323.758900;319.999800;1.203176;1.011747
50;1.666666;480;323.344000;319.999800;1.186238;1.010450
51;1.700000;480;322.985900;319.999800;1.170949;1.009331
52;1.733333;480;322.679600;319.999800;1.157435;1.008374
53;1.766666;480;322.420400;319.999800;1.146089;1.007564
54;1.800000;480;322.202800;319.999800;1.136419;1.006884
55;1.833333;480;322.022000;319.999800;1.128387;1.006319
